Experiment Name,Specimen Name,Tube Name,Record Date,All Events #Events,All Events %Parent,All Events FSC-A Mean,All Events SSC-A Mean,All Events FITC-A Mean,All Events PE-A Mean,All Events PerCP-Cy5-5-A Mean,All Events PE-Cy7-A Mean,All Events APC-A Mean,All Events APC-Cy7-A Mean,All Events Pacific Blue-A Mean,All Events V500-A Mean
2-20 YFAST,Specimen_001,Tube_001,"Aug 15, 2026 2:21:39 PM",10000,,18093,5446,256,3630,1160,289,1081,48,2069,5467
2-20 YFAST,Specimen_001,Tube_002,"Aug 15, 2026 2:22:24 PM",10000,,22591,6256,1236,9543,2486,450,2073,88,2084,8817
2-20 YFAST,Specimen_001,Tube_003,"Aug 15, 2026 2:23:43 PM",10000,,38101,16993,14496,65857,23983,4765,18086,832,4198,41345
2-20 YFAST,Specimen_001,Tube_004,"Aug 15, 2026 2:24:48 PM",10000,,36338,11806,7360,59619,12601,2294,4416,213,2184,26833
2-20 YFAST,Specimen_001,Tube_005,"Aug 15, 2026 2:26:35 PM",10000,,24732,10018,1512,16549,4566,962,3693,164,1270,10391
2-20 YFAST,Specimen_001,Tube_006,"Aug 15, 2026 2:27:45 PM",10000,,39340,15280,3199,39152,8831,1701,6640,297,2726,17228
2-20 YFAST,Specimen_001,Tube_007,"Aug 15, 2026 2:29:16 PM",10000,,23248,12058,3368,35392,7870,1703,5704,265,2244,17433
2-20 YFAST,Specimen_001,Tube_008,"Aug 15, 2026 2:30:30 PM",10000,,18283,6538,1233,14175,4434,1182,1818,125,1522,9648
2-20 YFAST,Specimen_001,Tube_009,"Aug 15, 2026 2:32:28 PM",10000,,24659,9464,1885,24459,5431,1100,2726,130,1676,10127
2-20 YFAST,Specimen_001,Tube_010,"Aug 15, 2026 2:33:56 PM",3942,,16629,8487,199,4600,3059,724,1410,72,864,4273
2-20 YFAST,Specimen_001,Tube_011,"Aug 15, 2026 2:34:46 PM",10000,,23259,7567,2671,29394,7254,1612,5317,257,1551,13947
2-20 YFAST,Specimen_001,Tube_012,"Aug 15, 2026 2:35:31 PM",10000,,32588,9641,4129,47677,7796,1389,6957,306,2238,18991
