Experiment Name,Specimen Name,Tube Name,Record Date,All Events #Events,All Events %Parent,All Events FSC-A Mean,All Events SSC-A Mean,All Events FITC-A Mean,All Events PE-A Mean,All Events PerCP-Cy5-5-A Mean,All Events PE-Cy7-A Mean,All Events APC-A Mean,All Events APC-Cy7-A Mean,All Events Pacific Blue-A Mean,All Events V500-A Mean
2-72,Specimen_001,Tube_001,"Aug 17, 2026 4:44:48 PM",10000,,17654,6055,352,4698,1310,302,1997,85,2795,5320
2-72,Specimen_001,Tube_002,"Aug 17, 2026 4:46:17 PM",10000,,18296,5654,729,8166,1737,335,2339,99,2574,6500
2-72,Specimen_001,Tube_003,"Aug 17, 2026 4:48:11 PM",5049,,32972,20781,4623,36680,15848,4339,11851,625,3024,23936
2-72,Specimen_001,Tube_004,"Aug 17, 2026 4:50:39 PM",10000,,33027,12308,2368,26217,7645,1486,3527,166,2361,14650
2-72,Specimen_001,Tube_005,"Aug 17, 2026 4:52:07 PM",10000,,26078,12358,2285,27805,6558,1513,4668,210,1848,12437
2-72,Specimen_001,Tube_006,"Aug 17, 2026 4:53:59 PM",10000,,29713,16089,6223,59179,17467,3735,6582,426,19832,27494
2-72,Specimen_001,Tube_007,"Aug 17, 2026 4:55:26 PM",10000,,21934,12759,2710,29494,7108,1579,5801,274,1893,15973
2-72,Specimen_001,Tube_008,"Aug 17, 2026 4:56:44 PM",10000,,18039,6627,938,11703,3626,959,1697,107,1396,8801
2-72,Specimen_001,Tube_009,"Aug 17, 2026 4:58:41 PM",10000,,19805,7179,577,8832,3414,792,1980,103,953,5679
2-72,Specimen_001,Tube_010,"Aug 17, 2026 4:59:36 PM",1161,,12716,6623,93,2330,1838,496,637,38,851,5207
2-72,Specimen_001,Tube_011,"Aug 17, 2026 5:00:40 PM",10000,,27267,9211,3353,41307,7530,1413,3739,177,1329,15014
2-72,Specimen_001,Tube_012,"Aug 17, 2026 5:01:29 PM",10000,,22275,9334,1801,28803,11119,2223,6199,274,2065,11291
