file_path,subfolder,filename,mean_FSC-A,mean_SSC-A,mean_FITC-A,mean_PE-A,mean_PerCP-Cy5-5-A,mean_PE-Cy7-A,mean_APC-A,mean_APC-Cy7-A,mean_Pacific Blue-A,mean_V500-A,mean_Time,,0.009643887,,,subfolder,,,,,,
20250527 HUMSEplus 1-6  mix in 4xynb 4g glucose evolve p1 24h\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 1-6  mix in 4xynb 4g glucose evolve p1 24h,Specimen_001_Tube_001_001.fcs,41702.242,708.7739,3339.2163,37409.336,6652.791,1190.1733,1689.5682,174.25192,3266.5488,15464.037,1422.3137,,92075.83684,2.207934932,227.9465785,20250527 HUMSEplus 1-6  mix in 4xynb 4g glucose evolve p1 24h,,,,,,
20250527 HUMSEplus 1-6  mix in 4xynb 4g glucose evolve p1 24h\Specimen_001_Tube_002_002.fcs,20250527 HUMSEplus 1-6  mix in 4xynb 4g glucose evolve p1 24h,Specimen_001_Tube_002_002.fcs,34207.812,578.5446,2983.3252,33807.598,5699.327,1018.8043,1318.8195,137.66193,2841.456,13456.2705,1051.846,,82262.46511,2.404785933,248.3585764,20250527 HUMSEplus 1-6  mix in 4xynb 4g glucose evolve p1 24h,,,,,,
20250527 HUMSEplus 1-6  mix in 4xynb 4g glucose evolve p1 48h\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 1-6  mix in 4xynb 4g glucose evolve p1 48h,Specimen_001_Tube_001_001.fcs,40399.29,600.7907,5422.864,60416.11,8629.086,1389.543,2190.9336,221.45508,2799.4724,21021.793,422.7932,,149530.5174,3.701315477,382.7991338,20250527 HUMSEplus 1-6  mix in 4xynb 4g glucose evolve p1 48h,,,,,,
20250527 HUMSEplus 1-6  mix in 4xynb 4g glucose evolve p1 48h\Specimen_001_Tube_002_002.fcs,20250527 HUMSEplus 1-6  mix in 4xynb 4g glucose evolve p1 48h,Specimen_001_Tube_002_002.fcs,38291.26,532.9816,4277.453,50681.53,7123.8,1163.4543,1825.5577,185.91728,2496.7776,17677.615,461.21375,,117946.8561,3.080255289,318.3997699,20250527 HUMSEplus 1-6  mix in 4xynb 4g glucose evolve p1 48h,,,,,,
20250527 HUMSEplus 1-6  mix in 4xynb 4g glucose evolve p1 72h\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 1-6  mix in 4xynb 4g glucose evolve p1 72h,Specimen_001_Tube_001_001.fcs,19340.35,236.34042,4458.045,51652.883,6446.322,945.7612,926.6752,95.70232,3301.4275,17751.387,377.50323,,122926.5154,6.355961264,658.0663354,20250527 HUMSEplus 1-6  mix in 4xynb 4g glucose evolve p1 72h,,,,,,
20250527 HUMSEplus 1-6  mix in 4xynb 4g glucose evolve p1 72h\Specimen_001_Tube_002_002.fcs,20250527 HUMSEplus 1-6  mix in 4xynb 4g glucose evolve p1 72h,Specimen_001_Tube_002_002.fcs,20716.818,252.25365,5924.4814,65124.35,8375.993,1215.549,1108.4238,114.83437,2984.2505,22120.496,630.8512,,163362.1586,7.885485048,816.6666782,20250527 HUMSEplus 1-6  mix in 4xynb 4g glucose evolve p1 72h,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 24 h P3\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 24 h P3,Specimen_001_Tube_001_001.fcs,20717.623,261.47113,2817.4192,28468.21,4514.817,775.2712,1705.8362,179.87442,2012.7646,11502.727,396.84677,,77687.75882,3.749839392,387.8307061,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 24 h P3,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 24h P2\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 24h P2,Specimen_001_Tube_001_001.fcs,33838.74,429.26505,6483.9575,59550.508,9149.268,1463.4723,2204.0671,230.09833,2963.0667,23311.084,345.49954,,178789.2006,5.28356554,546.8668031,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 24h P2,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 24h P2\Specimen_001_Tube_002_002.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 24h P2,Specimen_001_Tube_002_002.fcs,35700.27,462.7629,6461.954,58969.92,9086.675,1445.7054,2446.6987,251.9844,2790.1992,22682.697,244.79182,,178182.4742,4.991067972,516.5369612,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 24h P2,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 24h P2\Specimen_001_Tube_003_003.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 24h P2,Specimen_001_Tube_003_003.fcs,36376.594,481.7101,6891.0854,61848.133,9973.657,1628.1234,2985.507,308.5567,3287.9587,24832.912,250.20255,,190015.3802,5.223561619,540.6448387,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 24h P2,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 24h p4\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 24h p4,Specimen_001_Tube_001_001.fcs,26120.115,464.1881,5903.767,66446.74,8690.919,1596.7983,2322.8525,254.4431,2275.5005,23761.836,376.2956,,162790.9779,6.232398975,645.2538368,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 24h p4,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h P2\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h P2,Specimen_001_Tube_001_001.fcs,18495.004,216.94482,3383.8428,37770.023,4680.979,739.5247,805.3856,84.64055,3068.1316,13632.597,502.3841,,93306.37178,5.044950073,522.1241379,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h P2,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h P2\Specimen_001_Tube_002_002.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h P2,Specimen_001_Tube_002_002.fcs,20253.938,249.83742,4260.0938,46162.562,5740.304,893.1476,902.4763,95.957245,3120.7388,16358.684,691.32275,,117468.1921,5.799770497,600.3934523,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h P2,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h P2\Specimen_001_Tube_003_003.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h P2,Specimen_001_Tube_003_003.fcs,20652.496,242.88545,3676.7324,40362.152,4988.822,791.0833,984.353,103.887955,2325.5847,13807.627,883.3412,,101382.5348,4.908972492,508.024265,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h P2,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h P3\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h P3,Specimen_001_Tube_001_001.fcs,25293.182,277.41037,4338.6494,47693.504,6342.2163,1017.0926,2087.7478,216.07695,1740.7086,15545.8125,526.748,,119634.2909,4.729902743,489.4560519,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h P3,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h p4\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h p4,Specimen_001_Tube_001_001.fcs,18920.416,242.26797,5851.889,69247.33,8013.638,1199.6956,1126.4103,119.979065,4772.1855,22475.133,265.46503,,161360.4895,8.528379583,883.3301029,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h p4,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 72h P2\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 72h P2,Specimen_001_Tube_001_001.fcs,13906.441,214.48907,1691.3716,19704.758,3001.0134,620.2549,697.3575,83.45436,2338.0183,8600.943,405.76425,,46638.02566,3.353699603,346.7539298,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 72h P2,,,,,,
