file_path,subfolder,filename,mean_FSC-A,mean_SSC-A,mean_FITC-A,mean_PE-A,mean_PerCP-Cy5-5-A,mean_PE-Cy7-A,mean_APC-A,mean_APC-Cy7-A,mean_Pacific Blue-A,mean_V500-A,mean_Time,,0.009643887,,
HUM_Gln_P0_0h_point3\Specimen_001_Tube_001_001.fcs,HUM_Gln_P0_0h_point3,Specimen_001_Tube_001_001.fcs,27799.117,292.13718,5968.7866,65099.066,8637.3955,1169.5621,1270.5403,114.56978,2989.6067,21437.139,363.89618,164583.834,5.920469847,612.9090959,HUM_Gln_P0_0h_point3
HUM_Gln_p0_24h_point5\Specimen_001_Tube_001_001.fcs,HUM_Gln_p0_24h_point5,Specimen_001_Tube_001_001.fcs,29314.893,661.00885,6498.398,54110.695,10188.632,1701.8632,1217.7177,123.45926,5293.224,27769.945,1766.0538,179187.3842,6.112503435,632.8215639,HUM_Gln_p0_24h_point5
HUM_Gln_p0_48h_point8\Specimen_001_Tube_001_001.fcs,HUM_Gln_p0_48h_point8,Specimen_001_Tube_001_001.fcs,27627.615,808.52924,2501.5457,26946.227,5507.635,1300.1615,1092.7598,123.4552,6783.5815,17996.582,753.1565,68977.83583,2.496698894,257.8892775,HUM_Gln_p0_48h_point8
HUM_Gln_p0_72h_1point2\Specimen_001_Tube_001_001.fcs,HUM_Gln_p0_72h_1point2,Specimen_001_Tube_001_001.fcs,26891.068,534.1874,3116.3447,31720.5,5582.837,1005.2044,1152.8652,118.08275,4673.9634,17560.357,744.4132,85930.35622,3.195498082,330.3496038,HUM_Gln_p0_72h_1point2
HUM_Gln_p1_120 h od11\Specimen_001_Tube_001_001.fcs,HUM_Gln_p1_120 h od11,Specimen_001_Tube_001_001.fcs,28822.56,541.3016,10092.923,113440.14,14266.394,2083.3977,1247.1123,117.63332,5270.085,39570.754,396.40945,278303.125,9.65573929,204.3423571,HUM_Gln_p1_24h_point 5
HUM_Gln_p1_24h_point 5\Specimen_001_Tube_001_001.fcs,HUM_Gln_p1_24h_point 5,Specimen_001_Tube_001_001.fcs,34189.086,501.6852,2455.3704,29274.916,7422.072,1466.9596,1239.338,129.6636,3899.9124,13761.035,2419.703,67704.59414,1.980298454,207.2543849,HUM_Gln_p1_72h_OD1
HUM_Gln_p1_72h_OD1\Specimen_001_Tube_001_001.fcs,HUM_Gln_p1_72h_OD1,Specimen_001_Tube_001_001.fcs,36312.76,477.0509,2644.8704,31863.92,4681.0127,724.7718,1260.7954,113.61762,3726.776,12284.501,403.44244,72929.8834,2.00838172,674.2420361,HUM_Gln_p1_96h OD3
HUM_Gln_p1_96h OD3\Specimen_001_Tube_001_001.fcs,HUM_Gln_p1_96h OD3,Specimen_001_Tube_001_001.fcs,31248.352,551.0245,7379.6807,83194.42,10480.68,1566.066,1149.1357,111.38107,2210.103,26575.38,360.38504,203487.949,6.511957782,1000.229012,HUM_Gln_p1_120 h od11
HUM_Gln_p2_72h OD7\Specimen_001_Tube_001_001.fcs,HUM_Gln_p2_72h OD7,Specimen_001_Tube_001_001.fcs,35953.23,637.9152,8521.957,92832.18,11669.892,1673.7609,1352.877,126.65335,2711.2117,29086.045,250.70572,234985.1737,6.535857104,676.7202197,HUM_Gln_p2_72h OD7
HUM_Gln_p2_96h OD11\Specimen_001_Tube_001_001.fcs,HUM_Gln_p2_96h OD11,Specimen_001_Tube_001_001.fcs,30643.328,965.0165,7149.7554,83316.17,11666.808,2226.035,1569.7822,175.60045,7590.749,33860.6,295.28452,197147.969,6.433634396,666.1204781,HUM_Gln_p2_96h OD11
HUM_Gln_p3_48h OD11\Specimen_001_Tube_001_001.fcs,HUM_Gln_p3_48h OD11,Specimen_001_Tube_001_001.fcs,32075.834,465.4323,9548.479,99389.75,13203.617,1828.3508,1619.1715,148.5189,3407.8835,33713.45,246.9022,263290.5794,8.20837829,850.1483421,HUM_Gln_p3_48h OD11
HUM_Gln_p3_72h_OD14\Specimen_001_Tube_001_001.fcs,HUM_Gln_p3_72h_OD14,Specimen_001_Tube_001_001.fcs,23199.377,379.93076,4359.3574,49938.88,6604.95,1016.7099,1315.4966,132.09198,5871.3896,19268.553,406.11984,120205.2951,5.181401858,536.2731915,HUM_Gln_p3_72h_OD14
