Time,FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,normalized_FITC_A,FITC_fluorescence
53.9,29248.53,485.15,34394.5,262143.0,42759.848,5293.25,1066.24,137.36,1900.8099,109160.984,948396.9,3361.2808
54.0,45079.05,480.5,10423.75,130951.74,14246.05,2004.1499,2711.84,178.16,2606.9,38621.418,287425.38,660.1473
54.0,39852.09,513.05,51212.0,262143.0,67138.25,8971.399,1992.4,150.96,2727.42,167074.77,1412124.0,3673.2578
54.0,30826.71,311.55,25581.2,262143.0,32539.148,3764.95,1309.68,61.2,1251.0499,81497.72,705378.2,2371.6995
54.1,41696.49,460.34998,46436.45,262143.0,58596.2,7427.5996,1532.72,95.200005,2131.3699,148027.38,1280442.6,3183.26
54.1,42246.332,458.8,41309.047,262143.0,54573.95,6784.3496,2325.6,233.92,2643.5798,132513.05,1139059.1,2794.794
54.1,28990.14,316.19998,33387.0,262143.0,43105.5,5508.6997,1161.4401,145.52,1624.3999,109231.73,920616.0,3291.8813
54.1,48099.69,503.74997,41243.95,262143.0,52548.098,6971.9,2001.92,197.2,2276.7798,132693.83,1137264.1,2450.6978
54.1,58845.93,742.44995,96648.695,262143.0,124920.695,16180.449,3060.0,251.6,4146.15,262143.0,2664999.2,4695.005
54.3,45521.01,590.55,54051.598,262143.0,70022.8,8569.95,2248.08,273.36002,2553.19,175402.44,1490423.4,3394.0454
54.3,32741.58,438.65,21456.648,262143.0,27324.95,3251.9,1819.68,240.72,1302.1399,69084.16,591647.44,1872.7483
54.3,29893.2,403.0,41766.297,262143.0,54127.547,6677.4,973.76,107.44,1742.2999,133697.28,1151667.4,3993.869
54.3,42813.57,460.34998,41302.848,262143.0,52833.297,6492.9497,791.52,112.880005,1679.4199,128763.83,1138888.2,2757.3384
54.4,44662.32,468.09998,34126.348,262143.0,42817.2,4817.4,1615.68,115.6,2440.5298,108168.01,941002.8,2183.7288
54.4,3587.01,66.65,63.55,89.899994,7.75,-63.55,21.76,-6.8,-19.65,-3.9299998,1752.3331,49.656124
54.5,12650.67,114.7,17.05,-94.549995,71.299995,77.5,10.88,34.0,36.68,463.74,470.13812,2.8535397
54.5,35208.9,409.19998,33391.65,262143.0,42313.45,5717.9497,1961.12,236.64,1955.83,109484.555,920744.2,2710.655
54.6,26488.89,424.69998,29622.049,262143.0,37223.25,4583.35,1259.36,112.880005,1634.8799,96002.04,816800.9,3196.4246
54.7,57926.34,621.55,79138.34,262143.0,102599.15,13323.8,2446.6401,115.6,4119.9497,255470.95,2182167.5,3905.2485
54.7,29694.84,410.75,20858.35,259711.8,28282.85,3453.4,1272.96,159.12,1882.47,65405.676,575149.94,2007.3896
54.7,50377.35,544.05,70537.4,262143.0,84874.9,10677.949,2007.36,157.76,3290.72,228618.56,1945004.2,4002.438
54.7,25873.8,320.84998,19424.6,243469.34,25565.7,3135.65,728.96,112.880005,1392.5299,65117.477,535615.56,2145.5493
54.8,64776.72,767.25,32391.898,262143.0,41631.45,5998.5,4757.2803,337.28,4287.63,108198.13,893176.94,1428.7709
54.8,59281.8,730.05,68068.25,262143.0,85259.3,12793.699,2475.2,311.44,3598.5698,216193.22,1876919.8,3282.0098
54.8,48670.41,466.55,45738.95,262143.0,58661.297,6868.05,2135.2,142.8,2322.63,146984.61,1261209.6,2686.0154
54.9,33122.64,496.0,75880.25,262143.0,98505.59,11076.3,2774.4001,254.32,3024.7898,242260.9,2092328.5,6549.1733
54.9,37182.06,420.05,29045.45,262143.0,36420.348,5638.9,1199.52,179.52,1353.23,93050.61,800901.7,2232.5398
55.1,38774.16,519.25,45563.797,262143.0,58535.75,8342.1,1727.2001,140.08,1987.2699,147312.11,1256380.0,3358.9011
55.1,58598.85,692.85,84533.9,262143.0,109265.695,13709.75,5074.16,467.84,5055.2896,262143.0,2330945.0,4123.6855
55.2,47490.69,517.7,54936.65,262143.0,70391.695,8827.25,1999.2001,202.64,3087.67,175312.05,1514827.9,3306.5215
55.2,32204.791,382.84998,29476.35,262143.0,36942.7,4491.9,1544.96,6.8,1959.7599,94309.516,812783.4,2615.991
55.3,41705.19,500.65,34317.0,262143.0,43976.598,4729.05,1645.6,58.48,1835.3099,111821.59,946259.9,2351.7087
55.3,30667.5,379.75,33748.15,262143.0,43407.75,6049.65,1448.4,156.40001,1414.7999,106195.15,930574.3,3145.448
55.3,11724.99,275.9,-13.95,18.599998,43.399998,88.35,-1.36,-8.16,328.81,124.45,-384.65848,-4.4018154
55.3,43249.44,587.45,48611.098,262143.0,63607.348,7040.0996,2034.56,134.64,2113.03,150495.4,1340406.5,3212.6895
55.3,10435.65,99.2,41.85,703.69995,72.85,210.79999,73.44,20.4,138.86,763.73,1153.9755,10.466343
55.5,6351.0,9.299999,-6.2,-55.8,192.2,65.1,8.16,46.24,174.23,87.77,-170.95932,-3.7912488
