FITC-A_raw,FSC-A,Normalised_FITC_A,FITC_fluorescence
868.0,28522.08,23934.307,86.01368
37.199997,13855.62,1025.7559,6.676547
49.6,6742.5,1367.6746,20.03341
94.549995,18546.66,2607.1296,13.576217
18.599998,15572.13,512.8779,2.415182
144.15,22992.36,3974.8042,16.925863
46.5,6673.77,1282.195,18.921898
74.399994,15935.79,2051.5117,12.348987
136.4,13866.061,3761.105,27.126146
96.1,12114.75,2649.8696,21.680777
148.79999,14478.54,4103.0234,28.385098
133.3,12310.5,3675.6257,29.960178
108.5,13304.04,2991.7883,22.318209
75.95,10720.14,2094.2517,19.257055
17687.049,24484.41,487704.2,2064.4502
86.799995,14032.23,2393.4304,16.686504
506.84998,45638.46,13975.925,30.753927
82.149994,15151.05,2265.211,14.502932
74.399994,15134.5205,2051.5117,13.055723
204.59999,31704.541,5641.6577,17.451561
21.699999,13816.47,598.3576,3.490675
96.1,16550.88,2649.8696,15.601652
37.199997,7812.6,1025.7559,12.614331
82.149994,11838.96,2265.211,18.840061
24.8,7556.82,683.8373,8.38343
113.149994,10190.31,3120.0076,30.747984
190.65,25065.57,5256.999,20.747442
199.95,42446.43,5513.4385,12.468811
88.35,3527.85,2436.1704,70.60534
10792.649,28851.81,297597.44,1068.5571
131.75,20009.13,3632.8857,17.826578
18.599998,3764.49,512.8779,13.12719
119.35,16206.36,3290.967,20.056488
75.95,13773.84,2094.2517,14.766007
172.04999,11363.07,4744.121,42.29203
86.799995,20573.76,2393.4304,11.062991
134.84999,16467.36,3718.3652,22.414019
175.15,29388.6,4829.601,16.040419
606.05,38101.65,16711.273,44.479286
38.75,5455.77,1068.4958,19.307882
206.15,36441.69,5684.3975,15.174608
119.35,20146.59,3290.967,15.938303
74.399994,15052.74,2051.5117,13.132088
27.9,10068.51,769.31696,6.9229693
99.2,11194.29,2735.349,24.337519
553.35,39286.59,15258.119,39.272125
62.0,9535.2,1709.5933,17.591347
175.15,24045.93,4829.601,19.826561
97.649994,10705.35,2692.6094,25.080767
142.59999,19672.44,3932.0642,19.72575
26.349998,13301.43,726.5771,4.6641045
35.649998,9888.42,983.01605,9.30817
9.299999,13723.38,256.43896,0.9376298
97.649994,23423.01,2692.6094,10.920062
44.949997,9053.22,1239.4551,13.196314
82.149994,13549.38,2265.211,16.33553
1187.2999,6325.77,32738.709,535.65607
20.15,12732.45,555.6178,3.524932
286.75,10661.85,7906.869,75.89886
75.95,10541.79,2094.2517,19.599771
75.95,13798.2,2094.2517,14.738173
63.55,9390.78,1752.3331,18.349194
68.2,10573.98,1880.5525,17.441439
46.5,11800.68,1282.195,10.266653
1026.1,21340.23,28293.768,136.48001
28808.299,21661.26,794362.5,3801.6196
63.55,10540.05,1752.3331,16.23939
15.5,8373.75,427.39832,4.2924976
89.899994,19023.42,2478.9102,12.512013
93.0,24293.88,2564.39,9.945486
91.45,8743.5,2521.65,28.905243
106.95,19434.06,2949.0483,14.734981
77.5,23469.99,2136.9917,8.441431
71.299995,16141.11,1966.0321,11.63005
100.75,15219.78,2778.089,17.92717
203.04999,33978.72,5598.9175,16.086178
88.35,18946.86,2436.1704,12.3327055
103.85,20431.95,2863.5686,13.532679
69.75,12462.75,1923.2925,15.002186
320.84998,31835.91,8847.145,27.816004
77.5,8861.82,2136.9917,24.005053
35.649998,11576.22,983.01605,7.805251
190.65,15947.97,5256.999,33.180653
41.85,16228.11,1153.9755,6.3735476
274.35,26226.15,7564.9507,28.910206
128.65,15024.03,3547.406,23.483433
162.75,23141.13,4487.682,19.108765
133.3,22164.99,3675.6257,16.195374
192.2,30654.45,5299.7393,16.927052
204.59999,20708.61,5641.6577,27.249039
150.34999,19906.47,4145.7637,20.595245
46.5,5003.37,1282.195,25.572922
184.45,24974.22,5086.04,20.11717
94.549995,18560.58,2607.1296,13.565285
209.25,12776.82,5769.8774,45.8265
151.9,15407.7,4188.5034,27.188301
65.1,13572.0,1795.0729,12.714694
196.84999,33173.97,5427.9585,15.966293
196.84999,25838.13,5427.9585,20.783281
108.5,16422.99,2991.7883,17.889763
179.79999,23803.2,4957.8203,20.597492
127.1,17471.34,3504.6663,19.80024
48.05,12567.15,1324.9348,9.93215
77.5,12582.811,2136.9917,16.610556
79.049995,7584.66,2179.7312,28.799892
147.25,15261.54,4060.284,26.587091
93.0,11396.13,2564.39,22.333212
72.85,16887.57,2008.7721,11.334211
91.45,11108.16,2521.65,22.539137
34755.65,47622.93,958355.2,2085.6914
161.2,31842.0,4444.9424,13.474836
258.85,21897.03,7137.5522,32.799633
88.35,9503.01,2436.1704,25.582409
136.4,17378.25,3761.105,21.441778
79.049995,18039.45,2179.7312,11.529322
99.2,10118.1,2735.349,27.03249
316.19998,58617.992,8718.925,14.42339
168.95,23452.59,4658.6416,19.59759
48.05,11339.58,1324.9348,11.115614
362.69998,44968.56,10001.12,22.0615
66.65,15974.07,1837.8129,10.9298115
407.65,48175.38,11240.575,23.1942
116.25,27346.71,3205.4873,11.154492
106.95,16499.55,2949.0483,17.533508
421.59998,84053.31,11625.233,13.341505
62.0,17237.31,1709.5933,9.284215
182.9,23215.95,5043.3,21.525593
52.699997,18561.45,1453.1542,7.1179743
17.05,14119.23,470.13812,2.4527278
49.6,9411.66,1367.6746,14.068305
155.0,16533.48,4273.9834,25.805037
158.09999,23751.871,4359.4624,18.031937
79.049995,11542.29,2179.7312,18.58208
99.2,14482.89,2735.349,18.58418
-4.6499996,7348.02,-128.21948,-2.8093874
120.899994,11074.23,3333.7068,30.214884
196.84999,24397.41,5427.9585,22.069632
119.35,28511.64,3290.967,10.968761
33032.05,25125.6,910828.56,3757.9634
179.79999,12820.32,4957.8203,39.09958
170.5,23138.52,4701.3813,20.068703
181.34999,22610.43,5000.56,21.932833
74.399994,12649.8,2051.5117,15.816601
204.59999,19416.66,5641.6577,29.128677
29.449999,17122.47,812.05676,3.9177656
44.949997,18345.69,1239.4551,6.0055885
172.04999,43629.63,4744.121,10.275145
12348.85,39998.25,340508.22,881.7434
181.34999,42301.14,5000.56,11.257854
2255.25,25287.42,62186.457,253.99942
122.45,19880.37,3376.4465,16.610971
190.65,7751.7,5256.999,69.32161
596.75,19387.95,16454.836,87.00545
168.95,9579.57,4658.6416,49.42677
232.5,48211.92,6410.9746,12.788514
100.75,13110.9,2778.089,20.971592
82.149994,31379.16,2265.211,6.485403
223.2,14221.89,6154.5356,43.873077
-40.3,8668.68,-1111.2356,-14.292328
-13.95,8310.24,-384.65848,-5.79965
69.75,21966.63,1923.2925,8.078827
35.649998,8793.09,983.01605,10.59223
137.95,18524.91,3803.845,20.291906
144.15,18226.5,3974.8042,21.613111
195.29999,23006.28,5385.2188,23.27196
85.25,12291.36,2350.6907,18.830946
97.649994,7638.6,2692.6094,35.55169
139.5,19862.97,3846.585,19.080708
198.4,20133.541,5470.698,27.175425
167.4,18390.93,4615.902,25.0256
69.75,8970.57,1923.2925,21.231726
136.4,24045.06,3761.105,15.2195
184.45,26709.871,5086.04,18.744942
114.7,16498.68,3162.7476,18.877567
48.05,15686.97,1324.9348,7.757968
102.299995,15194.55,2820.8289,18.250269
38.75,9802.29,1068.4958,10.302985
55.8,10995.061,1538.6339,13.510607
21.699999,15677.4,598.3576,2.957625
0.0,7224.48,0.0,-1.0
74.399994,9249.84,2051.5117,21.997873
34.1,11882.46,940.27625,7.205348
94.549995,13369.29,2607.1296,19.220978
119.35,19130.43,3290.967,16.838022
474.3,15982.7705,13078.389,83.84965
26932.799,44346.51,742647.3,1735.485
167.4,15923.61,4615.902,29.058193
230.95,28830.06,6368.235,21.90453
71845.6,44224.71,1981076.8,4643.9834
26.349998,15082.32,726.5771,3.995298
740.89996,21109.68,20429.639,99.3522
68.2,11761.53,1880.5525,15.579426
71276.75,65671.95,1965391.1,3102.2512
226.29999,42229.8,6240.015,14.321966
62.0,16601.34,1709.5933,9.678187
229.4,13778.19,6325.495,46.604744
41.85,13070.88,1153.9755,8.154606
-1.55,17200.77,-42.73983,-1.2576516
82.149994,12990.84,2265.211,17.080868
100.75,13534.59,2778.089,20.283789
