FITC-A_raw,FSC-A,Normalised_FITC_A,FITC_fluorescence
7.75,9195.9,213.69916,1.4096637
246.45,20852.16,6795.6333,32.793
125.549995,22409.46,3461.9263,15.018959
124.0,11642.34,3419.1865,29.453024
173.59999,17432.19,4786.861,27.473886
105.399994,41165.79,2906.3083,6.3207083
22696.648,42416.85,625839.3,1528.9326
113.149994,59033.85,3120.0076,4.4802756
155.0,19579.35,4273.9834,21.635103
229.4,28542.96,6325.495,21.979649
137.95,14145.33,3803.845,26.884163
279.0,11340.45,7693.17,69.34333
37.199997,15775.71,1025.7559,5.742221
88.35,13463.25,2436.1704,17.763145
24.8,13093.5,683.8373,4.415579
139.5,16362.09,3846.585,23.377235
113.149994,14753.46,3120.0076,20.928535
108.5,20787.78,2991.7883,13.923499
15.5,16731.84,427.39832,1.6487257
97.649994,14305.41,2692.6094,18.517353
147.25,20869.56,4060.284,19.173952
49.6,8318.07,1367.6746,16.049358
139.5,20478.06,3846.585,18.477552
136.4,11480.5205,3761.105,32.970486
232.5,21534.24,6410.9746,29.870409
418.5,17604.45,11539.755,66.97075
55.8,9788.37,1538.6339,15.299444
102.299995,19515.84,2820.8289,13.987782
71.299995,25006.41,1966.0321,7.1524315
34.1,8532.09,940.27625,10.427413
-6.2,13697.28,-170.95932,-2.2942147
-32.55,27110.07,-897.53644,-4.432965
2004.1499,25512.75,55262.6,223.60631
184.45,18285.66,5086.04,27.841446
23.25,8331.99,641.0975,6.9785357
37.199997,18263.041,1025.7559,4.8239655
72.85,15761.79,2008.7721,12.215178
133.3,14356.74,3675.6257,25.54748
18085.4,30724.92,498688.38,1682.0087
199.95,17718.42,5513.4385,31.266022
97.649994,20257.95,2692.6094,12.782428
79.049995,17828.041,2179.7312,11.6778965
79.049995,19414.92,2179.7312,10.641668
142.59999,22078.86,3932.0642,17.466808
142.59999,27236.22,3932.0642,13.969994
7.75,16909.32,213.69916,0.31046224
3.1,7469.82,85.47966,0.1865896
105.399994,11886.811,2906.3083,24.352701
55.8,11624.07,1538.6339,12.725399
148.79999,18934.68,4103.0234,21.469526
841.64996,34695.6,23207.729,68.35953
234.04999,16351.65,6453.7144,39.925694
75.95,23521.32,2094.2517,8.2324095
137.95,25404.0,3803.845,14.526321
93.0,11724.12,2564.39,21.68045
54.25,8245.86,1495.8942,17.811039
62.0,10347.78,1709.5933,16.131424
102.299995,17270.37,2820.8289,15.936474
137.95,14526.39,3803.845,26.152699
-23.25,8186.7,-641.0975,-9.1201315
66.65,9258.54,1837.8129,19.582905
446.4,25657.17,12309.071,48.746716
63.55,12667.2,1752.3331,13.34445
35.649998,13594.62,983.01605,6.4979305
182.9,26626.35,5043.3,18.640432
12985.899,44956.38,358074.3,824.9043
96.1,12106.05,2649.8696,21.697077
218.54999,24473.97,6026.316,24.532618
223.2,23530.02,6154.5356,26.121948
44.949997,19874.28,1239.4551,5.466768
34.1,18934.68,940.27625,4.1492667
96.1,20723.4,2649.8696,12.259018
102.299995,17948.97,2820.8289,15.296152
127.1,19517.58,3504.6663,17.619524
113.149994,13034.34,3120.0076,23.820726
-21.699999,13475.43,-598.3576,-5.6043262
55.8,54411.54,1538.6339,1.9321904
12.4,14354.13,341.91864,1.4699819
38.75,12855.12,1068.4958,7.6187563
32.55,21228.87,897.53644,3.3840256
75.95,16350.78,2094.2517,12.281229
12.4,13807.7705,341.91864,1.5677166
113.149994,17818.47,3120.0076,17.15654
286.75,26294.01,7906.869,30.1814
62.0,16082.82,1709.5933,10.022459
38.75,8380.71,1068.4958,12.220257
12.4,15859.23,341.91864,1.2355714
35.649998,17971.59,983.01605,4.6718144
105.399994,17574.0,2906.3083,16.148216
60.449997,7425.45,1666.8534,22.276758
46.5,19138.26,1282.195,5.9470353
441.75,18508.38,12180.853,67.24284
328.59998,24543.57,9060.844,37.280605
85.25,12689.82,2350.6907,18.208254
21.699999,21857.01,598.3576,1.83869
130.2,7328.0103,3590.1458,49.80119
38.75,12507.12,1068.4958,7.8585653
15.5,14776.95,427.39832,1.9991341
14089.5,19406.22,388505.06,2074.8865
57.35,26216.58,1581.3738,5.2546983
-49.6,15048.39,-1367.6746,-10.424116
161.2,17578.35,4444.9424,25.220194
44.949997,8037.93,1239.4551,14.989484
72.85,12220.89,2008.7721,16.044165
18.599998,9771.84,512.8779,4.4423385
54.25,14660.37,1495.8942,9.580441
1221.3999,8782.65,33678.984,396.63196
69.75,18576.24,1923.2925,9.735825
-3.1,11336.1,-85.47966,-1.7818925
142.59999,18203.88,3932.0642,21.397755
114.7,19967.37,3162.7476,15.424479
52.699997,9461.25,1453.1542,14.926159
-35.649998,13465.86,-983.01605,-8.569625
271.25,26134.8,7479.4707,28.675602
6.2,17476.56,170.95932,0.014342666
38.75,6808.62,1068.4958,15.272774
3.1,10556.58,85.47966,-0.160371
102.299995,13575.48,2820.8289,20.546137
133.3,15430.32,3675.6257,23.700413
49.6,8947.08,1367.6746,14.850732
122.45,18445.74,3376.4465,17.980675
144.15,21861.36,3974.8042,17.85326
74.399994,16110.66,2051.5117,12.204091
210.79999,22118.01,5812.6167,26.250439
-24.8,13694.67,-683.8373,-6.1778455
151.9,20170.95,4188.5034,20.531803
151.9,16849.291,4188.5034,24.77657
106.95,19191.33,2949.0483,14.933996
232.5,26439.3,6410.9746,24.143282
-51.149998,12193.05,-1410.4144,-12.994504
20.15,10251.21,555.6178,4.620163
-1.55,14848.29,-42.73983,-1.2984724
75.95,13034.34,2094.2517,15.660488
438.65,18856.38,12095.372,65.51334
21.699999,13793.85,598.3576,3.4980388
1849.1499,11480.5205,50988.617,459.53168
-4.6499996,12668.07,-128.21948,-2.049522
10784.899,27477.21,297383.75,1121.2574
-9.299999,11283.03,-256.43896,-3.35671
131.75,13553.73,3632.8857,26.793343
38.75,11174.28,1068.4958,8.915193
86.799995,19387.95,2393.4304,11.800791
195.29999,23597.88,5385.2188,22.663458
82.149994,34891.35,2265.211,5.731917
23.25,11664.09,641.0975,4.699294
62.0,5322.66,1709.5933,32.30519
224.75,15542.55,6197.276,40.34533
15.5,10352.13,427.39832,3.281057
35.649998,14978.79,983.01605,5.805057
17.05,12761.16,470.13812,2.8201742
193.75,21499.44,5342.479,24.766983
65.1,28045.32,1795.0729,5.6369658
63.55,22315.5,1752.3331,7.142503
20.15,18738.06,555.6178,2.0746763
263.5,14874.39,7265.7715,49.651283
66.65,19434.93,1837.8129,8.80542
88.35,37489.17,2436.1704,5.73829
151.9,18182.13,4188.5034,22.88702
192.2,17563.56,5299.7393,30.288864
91.45,20325.81,2521.65,11.86426
9.299999,21145.35,256.43896,0.25752616
15340.35,68520.33,422996.1,639.12506
127.1,27845.22,3504.6663,12.051003
283.65,33344.49,7821.389,23.322472
351.84998,19144.35,9701.941,51.549175
34.1,14503.7705,940.27625,5.7223706
429.34998,49542.15,11838.933,23.779104
79.049995,17317.35,2179.7312,12.05177
94.549995,49310.73,2607.1296,4.4823794
153.45,15883.59,4231.243,26.622768
60.449997,15024.03,1666.8534,10.504264
-20.15,5863.8,-555.6178,-10.825279
223.2,29461.68,6154.5356,20.661358
18.599998,22160.64,512.8779,1.3998251
74.399994,12765.51,2051.5117,15.664171
34713.8,50590.5,957201.3,1960.9241
86.799995,19796.85,2393.4304,11.536393
13.95,12908.19,384.65848,2.0899951
1.55,11979.9,42.73983,-0.6300633
100.75,20997.45,2778.089,12.719159
69.75,19754.22,1923.2925,9.095627
17.05,7002.63,470.13812,5.96165
57.35,10184.22,1581.3738,15.101067
3795.95,10042.41,104669.84,1079.7655
161.2,17221.65,4444.9424,25.763275
74.399994,9631.7705,2051.5117,21.085934
74.399994,12519.3,2051.5117,15.991896
130.2,23333.4,3590.1458,14.954453
204.59999,18927.72,5641.6577,29.906961
9.299999,19007.76,256.43896,0.39894605
204.59999,14683.86,5641.6577,38.839546
57.35,20659.02,1581.3738,6.9372983
167.4,26796.0,4615.902,16.86218
29.449999,10058.94,812.05676,7.37109
75.95,13286.64,2094.2517,15.344124
86.799995,14375.88,2393.4304,16.263716
96.1,18983.4,2649.8696,13.474327
44.949997,11259.54,1239.4551,10.41453
412.3,35372.46,11368.795,32.32706
125.549995,18336.99,3461.9263,18.576616
210.79999,11468.34,5812.6167,51.555603
41.85,11099.46,1153.9755,9.780592
120.899994,11071.62,3333.7068,30.222244
657.19995,14142.72,18121.688,131.86592
65.1,12751.59,1795.0729,13.597068
-3.1,25893.81,-85.47966,-1.3423061
172.04999,16965.87,4744.121,27.995295
4981.6997,35244.57,137365.81,403.1423
15.5,18316.98,427.39832,1.4195065
27.9,27806.07,769.31696,1.8688877
-34.1,19073.01,-940.27625,-6.111921
9.299999,7148.79,256.43896,2.7196264
100.75,20216.19,2778.089,13.24934
68.2,15992.34,1880.5525,11.193302
97.649994,24389.58,2692.6094,10.447665
97.649994,13886.94,2692.6094,19.10549
-21.699999,16904.1,-598.3576,-4.670428
26.349998,8699.13,726.5771,7.660715
261.94998,19401.87,7223.0312,37.603245
1929.75,9877.11,53211.09,557.6247
83.7,20158.77,2307.951,10.871633
21168.35,26103.48,583697.9,2317.6628
106.95,15736.561,2949.0483,18.43211
-9.299999,18627.57,-256.43896,-2.4274986
226.29999,25106.46,6240.015,24.771994
27.9,18195.18,769.31696,3.3842654
48.05,20163.12,1324.9348,5.813726
35.649998,17698.41,983.01605,4.75936
4566.3,14213.19,125911.54,917.5903
31.0,25537.98,854.79663,2.4707565
-12.4,16303.8,-341.91864,-3.1746123
68.2,13159.62,1880.5525,13.818014
159.65,15983.64,4402.2026,27.55895
96.1,10551.36,2649.8696,25.041376
60.449997,26188.74,1666.8534,5.599798
-7.75,19444.5,-213.69916,-2.1396039
-3.1,8380.71,-85.47966,-2.0576205
103.85,14668.2,2863.5686,19.243176
164.29999,20185.74,4530.422,22.272436
26.349998,7368.0303,726.5771,9.22535
37.199997,15754.83,1025.7559,5.7511563
142.59999,12084.3,3932.0642,32.74015
15.5,17382.6,427.39832,1.5495641
217.0,14816.97,5983.5767,40.87447
103.85,17250.36,2863.5686,16.21303
100.75,24308.67,2778.089,10.850396
7.75,25789.41,213.69916,-0.14077032
