FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,normalized_FITC_A,FITC_fluorescence
45689.79,706.5,21077.25,258390.61,31192.762,4700.58,11113.44,1042.57,6706.9204,71460.84,38.0,581185.9,1317.997
25677.18,582.47003,17412.871,218305.38,36581.0,7638.0503,15294.68,1419.32,4864.2,68026.2,38.3,480144.0,1937.9742
23359.5,342.26,167.99,2402.1,992.24005,282.6,1487.82,139.74,1574.76,3212.8801,39.3,4632.171,19.562168
31225.17,536.94,15992.0205,195607.88,22655.102,3058.36,7918.6,702.81,2984.52,50442.48,39.8,440965.34,1463.3589
17979.42,221.37001,6567.31,78324.164,8633.431,1326.65,2922.21,190.43001,1775.4,22214.281,39.9,181087.56,1043.3855
31120.77,497.69,309.29,5989.5503,1741.13,328.13,2896.18,324.69,4790.2803,5126.8804,40.0,8528.389,27.416105
25950.36,386.22,12566.28,151490.88,17262.15,2307.9001,4649.78,541.15,2721.84,40147.8,40.1,346503.7,1383.5619
19397.52,340.69,177.41,2785.1802,1102.14,219.8,1796.07,147.96,1950.9601,2691.4802,40.3,4891.9185,25.150555
34692.99,701.79004,30757.871,262143.0,43079.23,6203.0703,13253.38,1163.13,4484.04,98000.766,41.8,848120.2,2533.916
35345.49,659.4,39352.05,262143.0,56877.96,8941.15,18811.47,1864.57,5867.4004,121863.73,42.0,1085096.8,3182.335
50299.92,909.03,47236.59,262143.0,62740.344,9801.511,13923.31,1039.83,6013.9204,151827.72,42.8,1302505.8,2684.0984
89075.82,3642.4001,108910.91,262143.0,171557.05,29175.31,61792.48,5804.69,20430.96,262143.0,46.1,3003118.5,3494.9124
50638.35,1271.7001,52767.703,262143.0,81255.35,15029.61,26882.14,2300.23,8081.0405,175923.0,46.1,1455021.1,2978.4604
66196.56,1284.26,51522.69,262143.0,66210.04,10442.07,13062.95,1313.83,6992.04,163870.1,46.3,1420691.1,2224.4207
64620.12,1230.88,56563.96,262143.0,78738.64,11822.101,21422.69,1944.03,7856.64,179312.77,46.5,1559699.5,2501.7705
51675.39,866.64,23344.33,262143.0,33068.91,5100.93,11212.08,850.77,7304.8804,79151.164,47.3,643698.56,1290.6553
74679.06,2494.73,66692.03,262143.0,101557.02,18488.32,37914.75,3477.06,19794.72,230899.69,47.6,1838971.8,2552.4307
77771.04,1535.4601,71460.125,262143.0,102257.24,16857.09,30779.791,2753.7,9938.28,231592.69,48.2,1970447.6,2626.2104
22265.041,494.55002,841.52,11271.03,4160.5,1540.17,338.39,135.63,1448.04,7758.9604,49.0,23204.145,107.066216
54432.42,910.60004,28655.64,262143.0,40653.582,6361.64,16501.65,1367.26,7819.68,93730.56,49.0,790153.06,1504.2251
20399.76,500.83002,598.17004,7091.6904,1194.77,375.23,10.96,-31.51,447.48,3165.36,50.1,16493.992,82.839485
3866.28,53.38,31.400002,956.13,453.73,244.92001,116.45,34.25,231.00002,872.52,50.5,865.8263,22.221235
38642.79,651.55005,21243.67,257748.48,30001.13,5058.54,9943.46,953.52,3319.8,70245.125,50.9,585774.75,1570.8462
11936.4,169.56001,215.09001,1962.5001,502.40002,-39.25,-1.37,120.56,326.04,1312.0801,51.1,5930.91,50.522373
54712.56,1256.0,16061.101,199146.66,29012.031,5780.74,17826.44,1471.38,11012.761,69714.484,51.1,442870.16,838.33875
55394.64,1493.0701,51210.26,262143.0,78989.84,14387.48,31226.41,2740.0,11722.921,171346.56,51.5,1412076.1,2642.25
16912.8,309.29,78.5,1540.17,675.10004,342.26,108.23,0.0,341.88,1491.6001,52.2,2164.5657,12.270984
93029.97,1912.26,64844.14,262143.0,90053.63,14068.7705,18830.65,1763.1901,8024.2803,205629.61,52.3,1788017.9,1991.952
11965.11,80.07,160.14,2645.4502,1237.16,346.97,56.170002,-35.62,542.52,2593.8,52.3,4415.714,37.267677
16777.08,193.11,97.340004,2232.54,585.61005,144.44,986.4,94.53,1139.16,2218.9202,53.7,2684.0615,15.589144
61453.32,1841.6101,74518.484,262143.0,100746.91,16612.17,25625.85,2378.32,9411.601,233702.05,55.3,2054779.0,3466.1104
53103.93,1441.26,42121.53,262143.0,56427.37,9853.32,19500.58,1526.18,9108.0,138279.25,56.0,1161462.8,2266.9136
28449.871,463.15002,334.41,4860.72,2758.49,659.4,287.7,132.89,1114.0801,4448.4004,56.2,9221.05,32.608406
52238.28,1088.01,37436.652,262143.0,51604.332,8379.09,18545.69,1693.32,6449.52,116669.52,56.7,1032281.44,2048.0715
14640.36,215.09001,42.390003,1328.2201,736.33,180.55,1105.59,106.86,1242.12,2139.72,56.8,1168.8656,7.278672
28251.51,417.62003,5002.02,61533.01,8120.04,830.53,1538.51,87.68,2481.6,18019.32,57.0,137926.12,505.23566
27481.56,910.60004,1009.51,16180.421,9762.261,3008.12,1567.28,461.69,2438.04,13590.721,57.8,27836.314,104.03117
12859.47,177.41,100.48,1433.41,629.57,328.13,705.55,-23.29,897.60004,1548.3601,58.0,2770.6443,21.341154
34522.47,1179.0701,42466.93,262143.0,60639.684,11618.0,23644.83,1963.21,7372.2,135887.4,58.2,1170986.8,3516.2078
20291.01,307.72,1042.48,12740.551,2414.6602,631.14,205.5,47.95,727.32,5652.24,58.5,28745.432,145.89705
51454.41,960.84,30726.47,262143.0,41496.67,6275.29,9294.08,715.14,6140.64,99303.6,58.8,847254.3,1706.4148
25839.0,536.94,894.9,12729.561,3887.32,1204.1901,552.11,104.12,1788.6001,10752.721,59.6,24676.049,98.02567
35966.67,742.61005,25683.63,262143.0,41605.0,7941.06,19791.02,1937.18,1948.3201,81500.766,60.9,708202.6,2040.7623
38857.68,860.36005,37526.14,262143.0,52565.17,7831.16,13116.38,1048.05,6568.3203,117581.65,61.2,1034749.0,2760.252
10205.1,84.78001,91.060005,985.96,604.45,29.830002,398.67,64.39,373.56003,1548.3601,62.2,2510.8962,24.512875
13627.68,351.68002,207.24,2802.4502,932.58,254.34001,115.08,-17.81,434.28003,2014.3201,62.5,5714.4536,42.481113
35897.94,623.29004,16648.281,202341.61,22339.531,3212.2202,8173.42,760.35,5223.24,53947.082,62.7,459061.12,1325.0162
24501.81,725.34,35558.93,262143.0,49498.96,7407.2603,13535.6,1086.41,7062.0005,109416.125,62.7,980504.94,4148.535
44932.89,1070.74,28759.262,262143.0,43140.46,7311.49,11544.99,1224.78,5208.72,93795.24,63.9,793010.3,1829.0475
45227.82,1664.2001,63346.363,262143.0,96598.96,15679.591,37351.68,3471.58,9984.48,208057.1,65.7,1746718.0,4003.6543
