10h_Specimen_001_Tube_010_010_FITC,10h_Specimen_001_Tube_011_011_FITC,10h_Specimen_001_Tube_012_012_FITC,24h_Specimen_001_Tube_010_011_FITC,24h_Specimen_001_Tube_011_012_FITC,24h_Specimen_001_Tube_012_013_FITC,2h_Specimen_001_Tube_010_010_FITC,2h_Specimen_001_Tube_011_011_FITC,2h_Specimen_001_Tube_012_012_FITC,48h_Specimen_001_Tube_010_010_FITC,48h_Specimen_001_Tube_011_011_FITC,48h_Specimen_001_Tube_012_012_FITC,6h_Specimen_001_Tube_010_010_FITC,6h_Specimen_001_Tube_011_011_FITC,6h_Specimen_001_Tube_012_012_FITC,72h_Specimen_001_Tube_010_010_FITC,72h_Specimen_001_Tube_011_011_FITC,72h_Specimen_001_Tube_012_012_FITC
2963.9402,2548.605,1918.013,2582.2146,2395.4734,1317.997,462.4982,1137.2826,2037.7086,1.1760058,-0.40165275,1937.52,2185.2751,2547.094,2153.9766,1656.085,1118.7454,6.2586994
2142.1436,71.47279,2464.981,2877.087,1386.3271,1937.9742,986.9073,874.68964,1366.8285,1057.01,2970.7368,125.47024,2215.8735,1527.1558,1858.48,3522.6265,14.279031,2477.633
1616.161,2090.6729,47.184067,70.04483,1233.2458,19.562168,920.10114,678.0901,482.64297,3192.6294,662.86786,2439.6333,684.4354,2039.2238,191.12306,3173.8184,-7.2740293,20.026997
2220.8015,1603.4174,1633.399,24.012522,2028.0677,1463.3589,533.09247,4.4419804,123.67588,-18.22487,2705.1394,3870.429,406.7821,1891.3,-5.9089384,3115.9565,2311.0232,3.3350601
40.253284,2779.4802,1537.9562,4932.125,1283.1827,1043.3855,700.6966,752.02826,8.310277,23.553484,2230.069,3929.7703,2248.6294,1805.3418,2375.8462,987.4717,1091.4695,2425.7595
2042.1592,2950.8113,1940.9427,2143.0972,70.721054,27.416105,1004.3186,211.59796,766.1509,-15.424548,1856.7474,18.007572,2531.0376,1136.2682,1676.8745,591.4555,290.45233,8.497879
2025.4761,1992.6617,2462.0117,103.09124,2028.2872,1383.5619,1118.1038,32.19041,747.2668,4041.2056,3518.0745,5169.2207,1163.0017,1771.8505,1188.5145,892.49756,2711.837,1.3186295
2298.3743,2111.5898,2939.5586,2252.4001,1879.8009,25.150555,1409.0397,29.116734,1143.0306,8.130395,1612.2375,3451.683,2618.4546,1315.3911,2438.04,0.67374027,10.764032,19.306496
4975.6885,2949.048,281.66928,401.82037,5821.1,2533.916,198.60439,760.53845,325.89072,25.272137,2928.31,2878.6138,1760.6987,2546.0242,2089.9822,2566.906,3413.5732,1791.6367
2161.489,1214.565,957.2231,1514.8906,46.17766,3182.335,814.2714,415.81552,1597.846,5112.783,42.09812,1966.0398,1302.1819,2200.0005,2481.496,2.1353018,-12.681825,9.394841
3616.039,1866.4807,2549.3057,1030.732,3755.8752,2684.0984,1587.6041,1414.2058,1299.271,3524.8594,5964.303,1974.868,41.00908,1939.7676,1997.4768,522.3063,5.017623,2.9460194
1509.0613,-5.149062,2196.4253,3664.7292,4293.323,3494.9124,1369.7898,1106.2576,1045.3785,38.127686,3545.0752,299.04648,3187.9453,130.6982,1760.1544,10.4739,34.20204,6.1583652
2328.1365,2220.8054,2870.1719,2043.3486,63.750526,2978.4604,923.35077,768.5416,505.46756,3164.2788,-12.082811,1474.6093,2124.8318,1738.9705,2001.569,3592.803,-47.129627,1229.2695
2436.257,3159.8125,18.996927,5125.3267,2555.2312,2224.4207,685.1316,769.73987,274.74033,4787.571,1469.78,6.5721374,2498.1968,277.0226,2033.4419,11.847487,1025.5717,1920.301
2228.2395,2350.289,1443.4542,3356.6204,29.292616,2501.7705,1074.1727,2431.2317,860.28827,603.99695,2651.0151,4299.7046,3557.528,2261.1714,1973.5651,1226.9381,2694.6887,31.928837
2762.352,2773.2725,2314.1802,1635.0787,4160.883,1290.6553,688.6434,314.539,1377.403,2324.065,3956.4236,2773.4087,2059.7214,1334.3948,1337.1278,633.8178,1932.6074,2.1025035
22.630701,838.6822,1419.5271,97.412476,64.90113,2552.4307,1099.3885,1026.2476,685.43695,12.981609,47.94242,2356.9563,1744.2828,2019.2229,1466.3046,4.48281,2854.8892,3.8958893
2626.5776,2512.682,1591.2965,70.83241,4875.6826,2626.2104,-0.29491043,399.8216,1053.1161,1949.2095,2150.644,5355.9966,2123.1094,2369.0618,1278.6981,1184.3274,4790.553,2.4309525
2903.866,2264.4663,2067.2375,2900.3086,1798.985,107.066216,1376.5828,535.53735,264.23392,1624.8553,3270.35,4429.8154,2395.0554,2443.633,2130.8254,3493.2478,559.3307,27.052082
2976.5706,1650.3992,2611.7688,3626.8013,2568.7505,1504.2251,1207.8137,1395.6979,864.8509,2555.8442,4503.8394,-0.0783931,1881.0939,1664.09,1425.362,987.72174,36.716087,23.406712
5164.435,1899.9469,2170.5476,45.04338,4148.914,82.839485,725.5927,2008.3846,689.1331,-1.0,1.5521188,8.957432,1664.0833,1589.13,1935.6127,40.800896,1435.9719,1836.5103
3297.9387,2384.1956,2079.7402,2092.8662,360.9132,22.221235,849.12604,1259.0183,1060.0449,-7.98131,57.447556,0.23394382,2297.2117,1041.419,1418.2816,-7.462864,19.7881,1.4786606
1803.3523,139.8242,2954.1519,1330.9723,3348.0637,1570.8462,1555.2567,871.2792,853.3692,0.51596737,1536.7965,3404.4927,2239.255,2140.0442,1560.092,34.28445,3569.0315,2261.4858
1887.5824,2081.6782,2064.7156,3702.8137,1477.7343,50.522373,40.18057,1307.0837,13.674654,1.8289685,3.0068398,41.166035,2075.1812,1760.3143,-6.139712,31.610996,3848.716,4113.695
2475.4956,1804.6268,2469.2961,1670.722,79.85767,838.33875,711.7571,586.6342,1296.2987,2144.039,2522.3562,3676.8167,2002.7007,1847.3036,1201.5354,2912.01,1654.4233,-3.3025594
3190.5637,1613.7399,1933.3188,2831.6428,1219.7622,2642.25,531.7546,1113.1407,702.44324,0.4260999,5660.399,3142.5034,1736.2926,802.5097,1689.3679,2856.1262,1386.8159,8.460082
2456.735,3.0376925,1441.7463,128.16281,2363.203,12.270984,865.74335,964.38654,54.585064,3664.0193,3212.811,1545.8256,1775.7595,1788.6659,1722.0723,1726.6394,1384.2689,11.044812
1940.938,752.2998,1941.898,72.48661,1664.1937,1991.952,1846.307,61.683872,1092.678,51.463184,2427.9849,14.267127,1775.028,2467.1902,1293.9763,1521.1453,-1.787769,-13.143676
2128.4739,2724.546,2827.1624,2960.7913,3564.176,37.267677,717.8347,604.9376,684.1973,2849.4233,4024.614,20.95063,1925.8715,2686.5562,3548.6125,33.22378,1660.9655,3.4795513
