Time,FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,normalized_FITC_A,FITC_fluorescence
53.8,37696.23,361.9,35741.86,175904.95,16827.58,2259.18,1366.8,160.48,2208.48,45342.207,372818.0,1024.5264
53.9,38191.26,486.63998,136899.84,262143.0,68733.28,9621.92,4490.72,432.48,3236.6099,160394.72,1427981.9,3876.0962
54.0,43687.92,623.7,132811.14,262143.0,64165.637,9227.68,3221.84,331.84,2654.8198,156940.11,1385333.2,3287.0676
54.0,83168.52,2216.06,180936.14,262143.0,93314.76,14209.58,12518.8,1219.92,10810.199,226610.42,1887317.9,2352.065
54.3,44653.62,830.06,173290.03,262143.0,88489.94,11742.5,4883.7603,505.92,3639.0898,207926.06,1807562.5,4196.4404
54.7,37765.832,545.16,92983.66,262143.0,47753.86,5853.54,4407.7603,531.76,3075.3599,112618.29,969898.7,2662.0247
54.7,24449.61,272.58,45701.04,220769.78,21986.58,2808.96,1041.76,103.36,786.89996,54823.707,476700.72,2020.7234
54.8,28014.871,409.63998,89835.9,262143.0,44886.38,6310.92,3223.2,354.96,1655.07,104562.234,937064.9,3467.3977
54.8,38554.92,401.94,68928.86,262143.0,34402.06,5091.2397,1991.04,242.08,1425.45,82212.984,718986.7,1932.6991
54.8,43940.22,465.08,124428.914,262143.0,63004.477,8473.08,6575.6,622.88,3813.24,147699.83,1297899.5,3061.857
54.9,33838.65,512.82,66129.14,262143.0,32165.979,4236.54,1880.88,257.04,2298.78,80652.086,689783.2,2112.72
55.4,27993.121,368.06,96442.5,262143.0,48972.0,6672.82,3965.76,331.84,2311.68,116606.97,1005977.4,3725.3596
55.4,23932.83,189.42,22596.42,111050.94,10941.7,1729.4199,1311.04,184.96,1625.3999,27833.04,235699.89,1020.20557
55.5,27119.64,298.75998,40951.68,197686.72,18538.52,2658.04,1168.24,208.08,1185.51,47870.61,427160.88,1632.2604
55.5,32563.23,417.34,89957.555,262143.0,43890.0,6277.04,3455.76,205.36,2172.3599,107369.27,938333.9,2986.9807
55.6,46268.34,520.51996,85600.9,262143.0,42011.2,5431.58,4925.92,371.28,2838.0,100483.26,892890.2,2000.0687
55.6,37624.02,539.0,72099.72,262143.0,34619.2,4889.5,3482.96,424.32,2523.24,85805.64,752061.44,2071.698
55.6,21721.291,200.2,58649.36,262143.0,29569.54,5240.6196,2608.48,244.8,1746.6599,72249.03,611762.75,2919.4197
55.7,34087.47,466.62,87699.914,262143.0,46143.02,6123.04,3548.24,250.24,2333.6099,103915.945,914784.75,2781.736
55.9,37518.75,606.76,103273.94,262143.0,49729.68,7159.46,2943.04,296.48,2160.75,123589.734,1077235.0,2976.2134
56.1,22548.66,210.98,47094.74,228876.33,23232.44,3295.5999,1389.92,92.48,1270.6499,58805.938,491238.2,2258.0156
56.2,31738.47,429.66,62657.977,262143.0,29880.62,4746.28,2883.2,314.16,2056.26,77116.195,653576.0,2134.2954
56.3,34108.35,582.12,80860.78,262143.0,43070.72,6719.02,5663.04,463.76,2977.3198,101468.82,843446.75,2563.1582
56.4,33502.832,458.91998,77985.6,262143.0,38142.72,5972.1196,2208.6401,174.08,2327.16,91995.055,813456.2,2516.68
56.5,43735.77,594.44,134112.44,262143.0,64943.34,10194.8,5837.12,444.72,3183.72,163378.5,1398906.9,3315.652
56.5,40556.79,588.27997,109695.734,262143.0,53796.82,8168.1597,3982.08,425.68,2263.95,132266.28,1144219.9,2924.4575
56.5,45651.51,640.64,80962.42,262143.0,40927.04,6899.1997,2484.72,206.72,2151.72,99255.18,844506.94,1917.209
56.6,74013.51,1037.96,38067.258,180158.44,20124.719,3190.88,5161.2,563.04,5049.06,50018.457,397073.9,555.29895
56.6,28811.791,280.28,56944.58,262143.0,28851.898,4081.0,2537.76,110.16,1032.0,67719.836,593980.44,2136.7148
56.6,38125.14,437.36,75871.18,262143.0,37908.64,5098.94,4881.04,462.4,3276.5999,91552.586,791401.0,2151.4497
56.6,34682.55,552.86,102539.36,262143.0,51144.938,8077.3,4796.72,469.2,1954.35,120945.234,1069572.8,3196.7698
56.6,27278.85,381.91998,97705.3,262143.0,47521.32,6999.3,3196.0,221.68001,1987.8899,119281.13,1019149.4,3873.0005
56.7,35290.68,462.0,110997.04,262143.0,55761.86,8397.62,3533.28,372.64,2150.43,132083.1,1157793.6,3400.8804
56.7,24869.82,264.88,90641.32,262143.0,46511.08,6273.96,3023.28,295.12,1968.5399,107070.0,945466.1,3941.0417
57.3,30893.7,385.0,76384.0,262143.0,37628.36,4381.3,3197.36,296.48,2212.3499,88201.164,796750.1,2673.2383
57.4,23280.33,251.01999,46908.4,229475.39,22785.84,3198.5798,1577.6,303.28,1237.11,55664.79,489294.5,2178.3606
57.4,26749.89,351.12,108610.04,262143.0,52672.617,7108.6396,1870.0,261.12,1523.49,126518.04,1132895.1,4390.5273
57.4,41835.69,723.8,203059.78,262143.0,97289.5,14970.34,6411.04,690.88,3744.8699,239813.58,2118086.2,5248.822
57.5,26941.291,286.44,33741.4,162990.52,18059.58,2048.2,1126.08,65.28,1394.49,41383.2,351951.5,1353.6038
57.5,31772.4,385.0,66725.12,262143.0,33610.5,5257.56,4024.24,395.76,2552.91,79529.79,695999.75,2270.4695
57.5,25992.99,226.37999,62091.258,262143.0,30184.0,4268.88,1308.3201,176.8,1440.9299,73064.305,647664.7,2582.6987
58.0,38158.2,417.34,60475.797,262143.0,30391.898,4296.6,2779.84,270.64,1991.7599,74007.3,630814.0,1713.1995
58.2,23758.83,394.24,113958.46,262143.0,57197.137,9121.42,4039.2,393.04,2555.49,138751.11,1188683.8,5186.871
58.2,43600.05,665.27997,126792.82,262143.0,64504.438,9330.859,3715.52,327.76,3083.0999,150855.17,1322557.0,3144.3958
58.3,25151.7,281.82,53499.598,256634.83,26192.32,4173.4,1935.28,171.36,1528.6499,64205.88,558046.3,2299.6514
58.4,39243.96,395.78,81515.28,262143.0,37559.06,5614.84,3050.48,267.92,1977.57,97503.36,850273.75,2245.6416
58.7,41571.21,546.7,198988.02,262143.0,98333.62,14531.439,7595.6,617.44,3188.88,234031.8,2075614.4,5176.2827
58.9,26829.93,377.3,72242.94,262143.0,36923.04,4952.6396,2881.84,235.28,1569.9299,84002.22,753555.3,2911.3494
59.2,25761.57,272.58,50906.24,245588.4,23511.18,2981.44,1040.4,115.6,1327.4099,58504.08,530995.4,2136.304
59.2,31135.56,371.13998,76899.9,262143.0,37699.2,5450.06,2475.2,314.16,1812.45,90506.4,802131.4,2670.3862
59.3,49422.96,691.45996,86233.836,262143.0,43608.18,5961.34,4919.12,446.08002,3450.75,104256.51,899492.3,1886.1941
59.5,32743.32,595.98,101977.26,262143.0,55794.2,8616.3,6460.0,573.92,2720.6099,120403.44,1063709.6,3367.5908
59.5,27479.82,386.53998,91674.66,262143.0,44361.24,6808.34,3393.2,258.4,2079.48,111992.63,956244.7,3607.3032
59.8,33828.21,372.68,73878.42,262143.0,35235.2,5585.58,3170.16,270.64,2014.98,87609.055,770614.8,2361.143
59.8,23981.55,264.88,51100.277,246832.73,24800.16,2996.8398,1532.72,141.44,1119.72,61340.79,533019.4,2303.6958
59.8,13410.18,174.01999,58065.7,262143.0,31539.2,5707.2397,3298.0,295.12,1790.5199,73351.98,605674.6,4682.307
59.9,24678.42,341.88,60565.117,262143.0,30208.639,4085.6199,1778.88,224.40001,1113.27,70031.516,631745.7,2653.4395
60.2,42445.56,398.86,82189.8,262143.0,40509.7,6565.02,3114.4001,284.24,2541.2998,97269.87,857309.5,2093.3691
60.2,36789.69,368.06,49555.66,238181.02,24185.7,3880.7998,2650.6401,338.64,1808.58,59675.4,516907.72,1455.9169
60.3,39111.72,571.33997,86193.8,262143.0,41113.38,5687.2197,2282.08,131.92,2252.3398,100786.41,899074.6,2382.6184
60.3,26814.27,314.16,63303.24,262143.0,31151.12,4117.96,1141.04,21.76,1595.73,76859.484,660306.6,2552.4512
60.5,19461.03,297.22,73076.08,262143.0,36536.5,5422.34,2199.12,229.84,1604.76,87941.875,762245.7,4060.412
60.8,45802.89,733.04,143668.14,262143.0,72073.54,9124.5,6461.36,665.04,4287.96,171026.9,1498581.0,3391.6199
60.8,35664.78,417.34,126239.95,262143.0,65679.46,8805.72,5600.48,433.84,2176.23,149129.16,1316790.1,3827.4668
60.9,28060.11,355.74,86349.336,262143.0,43612.8,6665.1196,4206.48,436.56,2603.22,105067.914,900697.06,3327.4133
60.9,23118.51,286.44,58339.82,262143.0,28311.36,3267.88,2283.44,205.36,1261.62,66880.05,608534.0,2728.4358
60.9,24721.92,303.38,74605.3,262143.0,37666.86,5568.6396,2137.92,227.12,1336.44,90127.14,778196.75,3263.037
60.9,48338.94,451.22,49558.74,240135.28,25947.459,3109.26,3084.48,297.84,3640.38,64658.668,516939.8,1107.8958
61.0,38237.37,548.24,123394.04,262143.0,60762.24,7991.0596,4407.7603,372.64,3294.66,149536.8,1287104.9,3489.3887
61.0,41280.63,523.6,89364.66,262143.0,43772.957,5234.46,2929.44,341.36002,3200.49,104475.805,932149.44,2340.462
61.1,33535.89,469.69998,85101.94,262143.0,44133.32,6277.04,2807.04,316.88,1798.2599,97338.234,887685.6,2743.7146
61.1,39704.19,491.25998,180919.2,262143.0,92367.66,11574.64,4802.16,462.4,2800.5898,212722.28,1887141.2,4927.513
61.2,28481.19,528.22,106951.46,262143.0,53448.777,7550.6196,3474.8,252.96,2945.0698,125879.484,1115594.8,4060.5913
61.2,50537.43,833.13995,153810.58,262143.0,75995.92,9293.899,6517.12,560.32,4339.56,185940.6,1604375.2,3290.855
61.3,38090.34,446.59998,98376.734,262143.0,48978.16,7880.1797,5920.08,692.24,2908.95,117196.5,1026153.06,2792.4775
61.3,33327.96,381.91998,65701.016,262143.0,33481.14,4880.26,3621.68,220.32,1811.1599,77354.85,685317.5,2131.2148
61.4,41082.27,522.06,104159.44,262143.0,53961.598,7686.1396,5960.88,456.96,3190.17,128304.69,1086471.6,2741.2803
61.5,33106.98,363.44,5236.0,25303.74,3529.68,463.53998,1679.6,155.04001,1622.82,8632.68,54615.938,170.0597
61.5,42354.21,455.84,76635.016,262143.0,37711.52,5417.7197,4312.56,548.08,2057.55,89827.86,799368.44,1956.0336
61.6,42202.832,546.7,109249.14,262143.0,54482.117,7803.1797,3346.96,352.24,3439.14,132693.27,1139561.5,2798.91
61.7,113193.96,2077.46,262143.0,262143.0,170898.42,25138.959,18936.64,1706.8,12283.38,262143.0,2734374.5,2503.855
61.9,20195.31,284.9,53890.758,259839.58,26295.5,4427.5,2967.52,372.64,2329.74,65066.31,562126.44,2885.2327
61.9,40749.93,825.44,99750.414,262143.0,48628.58,6669.7397,3744.08,432.48,2799.2998,120965.875,1040481.7,2646.6187
61.9,42509.07,622.16,144473.56,262143.0,70722.96,10895.5,6330.8003,745.28,3428.8198,170553.47,1506982.2,3674.9907
62.2,27741.69,491.25998,118404.44,262143.0,60384.938,7518.28,4662.08,444.72,3479.13,144839.9,1235059.0,4615.392
62.4,25673.7,281.82,49447.86,238931.0,23135.42,2534.8398,1124.72,122.4,1329.99,58684.68,515783.25,2082.1794
62.5,34066.59,340.34,68654.74,262143.0,32495.54,4421.34,1899.92,87.04,1164.87,81700.86,716127.4,2178.7642
62.5,28609.08,696.07996,126708.12,262143.0,62656.438,10002.3,5778.64,466.48,3299.8198,156000.98,1321673.5,4789.3604
62.7,35302.86,471.24,111141.8,262143.0,57729.98,10418.1,5051.04,398.48,2826.39,131819.94,1159303.5,3404.1414
62.7,41292.81,529.76,120029.14,262143.0,63526.54,8630.16,5759.6,545.36,2812.2,146322.11,1252006.1,3142.981
62.8,26424.51,240.23999,55612.48,262143.0,29301.58,5011.1597,4092.24,338.64,1541.5499,68791.83,580085.5,2275.318
63.2,41398.082,489.72,100451.12,262143.0,51756.32,6789.86,4383.2803,470.56,3476.5498,119370.15,1047790.6,2623.4734
63.2,35497.74,408.09998,85961.26,262143.0,44903.32,6488.02,4755.92,553.52,2988.93,105396.87,896649.06,2618.206
63.2,25347.45,428.12,91642.32,262143.0,45831.938,6170.78,1940.72,142.8,2714.16,109411.34,955907.4,3909.4744
63.4,44463.96,668.36,185472.97,262143.0,91694.68,12025.859,4917.7603,394.4,4435.02,214568.28,1934640.9,4510.6987
63.6,30076.77,366.52,78429.12,262143.0,37323.438,5082.0,3291.2,148.24,2653.53,92054.4,818082.44,2819.4197
63.6,22365.09,190.95999,69909.836,262143.0,34201.86,3902.3599,2054.96,180.88,1523.49,82407.78,729219.06,3379.9226
63.7,20685.12,223.29999,25394.6,123338.59,13852.3,1677.0599,1092.08,205.36,932.67,31659.18,264887.28,1326.856
63.7,40881.3,509.74,84509.04,262143.0,42001.957,5588.6597,2953.92,252.96,2720.6099,99842.125,881501.2,2234.8674
63.8,37806.72,665.27997,82135.9,262143.0,41429.08,5570.1797,3246.32,238.0,3017.3098,99784.08,856747.3,2348.804
63.8,36950.64,412.72,78213.516,262143.0,36785.98,6227.76,3212.32,142.8,1742.7899,90172.29,815833.5,2288.4304
63.8,25844.22,329.56,76705.86,262143.0,36547.277,4954.1797,2181.44,273.36002,1942.74,95476.766,800107.4,3209.2046
63.9,22185.0,244.86,63494.2,262143.0,31794.84,4319.6997,1456.56,189.04001,1629.2699,77716.05,662298.5,3094.5813
63.9,39504.09,458.91998,106392.44,262143.0,52651.06,8354.5,3881.44,333.2,2850.9,130620.234,1109763.6,2911.972
63.9,47133.12,937.86,152496.95,262143.0,77517.44,11471.46,8053.92,632.4,4998.75,184903.44,1590673.0,3498.4727
64.1,47964.84,517.44,181760.03,262143.0,92350.72,12048.96,7896.16,621.52,3808.0798,213971.0,1895911.8,4097.6704
64.1,25787.67,341.88,67478.18,262143.0,32611.04,4469.08,1611.6,23.12,1479.63,82307.16,703854.8,2829.2114
64.2,32446.65,421.96,70022.26,262143.0,33287.098,4595.36,1592.56,118.32,1424.1599,83748.086,730391.75,2333.1775
64.2,38607.99,483.56,91249.62,262143.0,46124.54,7804.7197,4123.52,364.48,1915.6499,106604.305,951811.2,2555.3572
64.3,14732.58,150.92,1.54,113.96,41.579998,10.78,-16.32,-42.16,568.88995,132.87,16.06351,-0.8869399
64.3,38033.79,483.56,73154.62,262143.0,36314.74,4090.24,2205.92,224.40001,2113.02,88188.266,763064.94,2079.3662
64.3,38750.67,462.0,106232.28,262143.0,51238.88,6629.6997,3087.2,315.52,2253.63,124246.34,1108093.1,2964.138
64.3,38575.8,478.94,67431.98,262143.0,33006.82,4526.06,2249.44,233.92,1984.0199,78030.805,703372.9,1889.6823
64.4,23080.23,292.6,49116.758,237785.23,24527.58,3284.8198,1504.16,123.76,930.08997,61182.117,512329.6,2300.7449
64.4,31138.17,343.41998,46398.66,224980.14,22145.2,2815.1199,1312.4,149.6,1292.58,53435.668,483977.5,1610.6842
64.4,28026.18,301.84,882.42,4239.62,971.74,437.36,1406.24,107.44,1128.75,3421.0798,9204.392,33.05486
64.5,38236.5,448.13998,110017.59,262143.0,52888.22,7667.6597,2808.4001,285.6,2279.43,131408.42,1147577.1,3111.0864
64.5,43327.742,964.04,194206.31,262143.0,95115.016,14828.659,7720.72,564.4,5470.8896,237451.58,2025737.1,4847.0254
64.5,47892.63,677.6,84744.66,262143.0,40919.34,6592.7397,3057.28,401.2,2489.7,98322.51,883958.9,1912.8647
64.6,35680.44,448.13998,113785.98,262143.0,58444.54,7602.98,4339.7603,399.84,2429.0698,135923.42,1186884.6,3448.262
64.7,28986.66,321.86,52492.438,253226.81,25266.78,3358.74,2034.56,199.92,1382.88,62686.258,547540.8,1957.6921
64.7,61531.62,817.74,151305.0,262143.0,76234.62,8952.02,6355.2803,552.16003,4547.25,182906.52,1578239.9,2658.638
64.8,44095.082,551.32,91559.16,262143.0,43746.777,5560.94,3431.28,331.84,3234.0298,107146.11,955039.94,2244.8423
64.9,29504.31,281.82,68091.1,262143.0,33564.3,4923.38,2350.08,224.40001,2363.28,76642.766,710248.1,2495.1606
65.0,26626.35,264.88,56969.22,262143.0,27994.12,4085.6199,2465.68,228.48,1498.98,65808.055,594237.44,2313.1753
65.0,42115.832,514.36,85942.78,262143.0,41042.54,5260.6396,4048.72,288.32,2685.78,101572.016,896456.4,2206.149
65.2,44610.12,458.91998,101935.68,262143.0,50305.64,6267.8,4116.72,480.08002,2576.13,122141.06,1063275.9,2470.499
65.2,31959.45,565.18,97663.72,262143.0,49135.24,6689.76,3957.6,352.24,2475.51,118321.375,1018715.7,3304.2292
65.3,52491.45,865.48,138358.22,262143.0,70385.695,10213.279,8475.5205,741.2,4921.35,163626.17,1443194.0,2849.9133
65.5,32458.83,395.78,62272.977,262143.0,29683.5,4857.1597,1871.36,119.68,1581.5399,73978.914,649560.1,2074.078
65.5,21524.67,460.46,104710.76,262143.0,53692.098,7767.76,3865.12,435.2,2093.67,125519.58,1092222.2,5260.6553
65.6,44839.8,431.19998,44638.438,216168.25,21501.479,2765.8398,1634.72,205.36,1817.61,54085.83,465616.88,1075.7451
65.6,29334.66,344.96,74515.98,262143.0,36317.82,5627.1597,3661.12,276.08002,1692.48,89774.97,777265.06,2746.489
65.7,23466.51,389.62,51078.72,244880.02,24330.459,3511.2,1916.24,218.96,1208.73,58950.418,532794.5,2353.2854
65.7,48668.67,583.66,57874.74,262143.0,27679.959,3324.8599,1871.36,337.28,2569.68,70498.5,603682.75,1285.1959
65.8,40868.25,432.74,109734.234,262143.0,51799.438,7718.48,2278.0,156.40001,1893.72,129064.5,1144621.5,2903.1814
65.9,33097.41,477.4,63849.938,262143.0,31533.04,4678.52,2756.72,178.16,2106.5698,75035.43,666009.2,2085.5754
66.0,35796.15,434.28,82091.234,262143.0,40528.18,6138.44,3701.92,420.24,2168.49,98995.89,856281.44,2479.4365
