,CENPK_ETH_vs_CENPK_EXP,HUMgE_72h_vs_CENPK_ETH,HUMgE_72h_vs_CENPK_EXP,HUMgE_72h_vs_HUMgE_ETH,HUMgE_96h_vs_CENPK_ETH,HUMgE_96h_vs_CENPK_EXP,HUMgE_96h_vs_HUMgE_72h,HUMgE_ETH_vs_CENPK_ETH,HUMgE_ETH_vs_CENPK_EXP,HUMgE_ETH_vs_HUMgE_EXP,HUMgE_EXP_vs_CENPK_EXP,HUMgE_EXP_vs_HUMg_EXP,HUMgEhE_72h_vs_CENPK_ETH,HUMgEhE_72h_vs_CENPK_EXP,HUMgEhE_72h_vs_HUMgEhE_ETH,HUMgEhE_96h_vs_CENPK_ETH,HUMgEhE_96h_vs_CENPK_EXP,HUMgEhE_96h_vs_HUMgEhE_72h,HUMgEhE_ETH_vs_CENPK_ETH,HUMgEhE_ETH_vs_CENPK_EXP,HUMgEhE_ETH_vs_HUMgEhE_EXP,HUMgEhE_EXP_vs_CENPK_EXP,HUMgEhE_EXP_vs_HUMgE_EXP,HUMgEh_EXP_vs_CENPK_EXP,HUMgEh_EXP_vs_HUMg_EXP,HUMg_EXP_vs_CENPK_EXP,LIMg_72h_vs_CENPK_ETH,LIMg_72h_vs_CENPK_EXP,LIMg_72h_vs_NER_72h,LIMg_96h_vs_CENPK_ETH,LIMg_96h_vs_CENPK_EXP,LIMg_96h_vs_LIMg_72h,LIMg_96h_vs_NER_96h,NER_72h_vs_CENPK_ETH,NER_72h_vs_CENPK_EXP,NER_96h_vs_CENPK_ETH,NER_96h_vs_CENPK_EXP,NER_96h_vs_NER_72h,NERgE_72h_vs_CENPK_ETH,NERgE_72h_vs_CENPK_EXP,NERgE_72h_vs_NERg_72h,NERgE_96h_vs_CENPK_ETH,NERgE_96h_vs_CENPK_EXP,NERgE_96h_vs_NERgE_72h,NERgE_96h_vs_NERg_96h,NERg_72h_vs_CENPK_ETH,NERg_72h_vs_CENPK_EXP,NERg_72h_vs_NER_72h,NERg_96h_vs_CENPK_ETH,NERg_96h_vs_CENPK_EXP,NERg_96h_vs_NER_96h,NERg_96h_vs_NERg_72h,VAL_72h_vs_CENPK_ETH,VAL_72h_vs_CENPK_EXP,VAL_72h_vs_NER_72h,VAL_96h_vs_CENPK_ETH,VAL_96h_vs_CENPK_EXP,VAL_96h_vs_NER_96h,VAL_96h_vs_VAL_72h,VALg_72h_vs_CENPK_ETH,VALg_72h_vs_CENPK_EXP,VALg_72h_vs_VAL_72h,VALg_96h_vs_CENPK_ETH,VALg_96h_vs_CENPK_EXP,VALg_96h_vs_VAL_96h,VALg_96h_vs_VALg_72h
AAC1,13.1483,-0.8221,12.3263,-0.9441,-2.3154,10.833,-1.4933,0.122,13.2704,0.9245,12.3459,1.8463,-1.3987,11.7496,0.3613,-6.0527,7.0957,-4.654,-1.76,11.3883,4.4418,6.9465,-5.3994,10.9039,0.4043,10.4996,-13.1483,0,-13.9321,-5.6936,7.4547,7.4547,-5.7892,0.7837,13.9321,0.0956,13.2439,-0.6882,0.2757,13.4241,0.9747,-0.3633,12.785,-0.639,0.7928,-0.699,12.4493,-1.4828,-1.1561,11.9923,-1.2516,-0.4571,-2.1197,11.0286,-2.9035,-9.6018,3.5465,-9.6974,-7.4821,-13.1483,0,-11.0286,-13.1483,0,-3.5465,0
AAC3,1.5677,-0.5403,1.0273,-0.1253,-1.1106,0.4571,-0.5702,-0.4151,1.1526,-0.3697,1.5223,1.3484,0.5083,2.076,0.5616,-0.75,0.8177,-1.2583,-0.0533,1.5144,0.51,1.0044,-0.5179,0.8351,0.6613,0.1738,-1.5041,0.0636,-2.2039,-1.7377,-0.17,-0.2336,-1.8441,0.6998,2.2675,0.1064,1.6741,-0.5934,-0.2386,1.3291,0.8189,-1.0226,0.545,-0.7841,0.421,-1.0574,0.5102,-1.7573,-1.4436,0.124,-1.5501,-0.3862,0.1095,1.6772,-0.5903,-1.2917,0.276,-1.3981,-1.4012,-1.8508,-0.2831,-1.9603,-2.3191,-0.7515,-1.0275,-0.4684
AAD6,3.4865,-3.4865,0,0,-3.4865,0,0,-3.4865,0,0,0,-11.5149,-3.4865,0,-10.2324,4.2624,7.7488,7.7488,6.7459,10.2324,0.3586,9.8738,9.8738,3.6561,-7.8588,11.5149,-3.4865,0,0,-3.4865,0,0,0,-3.4865,0,-3.4865,0,0,-3.4865,0,0,-3.4865,0,0,0,-3.4865,0,0,-3.4865,0,0,0,10.0875,13.574,13.574,10.0684,13.5549,13.5549,-0.0191,4.0756,7.562,-6.012,8.109,11.5955,-1.9594,4.0335
AAH1,-2.8011,-9.2784,-12.0795,-3.6259,-12.5003,-15.3014,-3.2219,-5.6525,-8.4536,-6.658,-1.7955,0.7975,-1.708,-4.5091,4.5253,-0.0138,-2.8149,1.6941,-6.2333,-9.0343,-7.0481,-1.9863,-0.1907,-2.5824,0.0106,-2.593,-12.5003,-15.3014,0,-8.8291,-11.6302,3.6712,3.6712,-12.5003,-15.3014,-12.5003,-15.3014,0,-12.5003,-15.3014,0,-12.5003,-15.3014,0,0,-12.5003,-15.3014,0,-12.5003,-15.3014,0,0,-4.5952,-7.3963,7.9051,-8.9279,-11.729,3.5724,-4.3327,-12.5003,-15.3014,-7.9051,-4.856,-7.657,4.072,7.6444
AAP1,-0.2348,0.4744,0.2396,-0.1957,1.3121,1.0773,0.8377,0.6701,0.4353,-1.0362,1.4715,0.0384,0.6127,0.3779,-0.0158,0.7795,0.5446,0.1668,0.6285,0.3937,-0.5648,0.9584,-0.5131,1.4573,0.0242,1.4331,0.4904,0.2556,-1.2513,0.4234,0.1885,-0.067,-1.6989,1.7417,1.5068,2.1222,1.8874,0.3805,1.0459,0.8111,-0.3561,1.2808,1.046,0.2349,0.0434,1.402,1.1671,-0.3397,1.2374,1.0026,-0.8848,-0.1645,1.3552,1.1203,-0.3865,1.0042,0.7694,-1.118,-0.351,1.5307,1.2959,0.1755,1.4059,1.1711,0.4017,-0.1248
AAT1,0.1985,-0.8356,-0.6371,-0.8524,-0.6043,-0.4058,0.2313,0.0169,0.2153,-1.2629,1.4782,0.6761,0.2419,0.4403,0.1154,-0.3213,-0.1228,-0.5632,0.1265,0.325,-0.4293,0.7542,-0.724,0.7766,-0.0255,0.8021,-0.0476,0.1509,-0.7579,-0.2764,-0.0779,-0.2288,-0.9132,0.7103,0.9088,0.6368,0.8353,-0.0734,0.1901,0.3885,0.0945,-0.3567,-0.1582,-0.5468,-0.3025,0.0955,0.294,-0.6148,-0.0542,0.1443,-0.6911,-0.1497,0.7596,0.9581,0.0494,0.1407,0.3391,-0.4962,-0.619,0.2581,0.4565,-0.5016,0.3122,0.5107,0.1716,0.0542
AAT2,0.075,0.3852,0.4602,0.4519,-0.2383,-0.1633,-0.6234,-0.0667,0.0083,0.697,-0.6887,-1.006,-0.6804,-0.6054,0.2684,-0.5735,-0.4984,0.107,-0.9488,-0.8738,-0.1224,-0.7514,-0.0627,0.2882,-0.029,0.3173,-0.145,-0.07,0.4044,-0.5898,-0.5147,-0.4448,0.0406,-0.5494,-0.4743,-0.6304,-0.5553,-0.081,-0.4997,-0.4247,-0.4689,-0.4771,-0.4021,0.0226,-0.2455,-0.0308,0.0442,0.5186,-0.2317,-0.1566,0.3987,-0.2008,-0.2953,-0.2203,0.2541,-0.5833,-0.5083,0.0471,-0.288,-0.0066,0.0685,0.2887,-0.0841,-0.0091,0.4992,-0.0776
ABD1,0.2665,-0.2909,-0.0245,0.0268,-0.3807,-0.1143,-0.0898,-0.3177,-0.0513,0.3751,-0.4264,-1.2101,-0.4109,-0.1444,0.2796,-0.4007,-0.1342,0.0102,-0.6905,-0.4241,0.4497,-0.8737,-0.4473,0.7845,0.0007,0.7838,-0.6885,-0.422,-0.6967,-0.631,-0.3645,0.0575,-0.6192,0.0082,0.2747,-0.0118,0.2546,-0.02,-1.0573,-0.7909,-0.5789,-0.2661,0.0003,0.7912,-0.1335,-0.4784,-0.212,-0.4866,-0.1327,0.1338,-0.1208,0.3458,0.1096,0.3761,0.1014,-0.0914,0.175,-0.0796,-0.2011,0.6194,0.8858,0.5097,0.489,0.7555,0.5804,-0.1303
ABF1,1.0132,-0.9683,0.0449,-0.4648,-0.9954,0.0178,-0.0271,-0.5035,0.5097,-0.6344,1.1441,0.0088,-0.8334,0.1799,0.0643,-1.7428,-0.7296,-0.9094,-0.8977,0.1155,-0.5456,0.6611,-0.483,1.3443,0.2091,1.1352,-0.7546,0.2587,-0.5297,-0.8387,0.1746,-0.0841,-0.2465,-0.2249,0.7883,-0.5922,0.421,-0.3673,-1.7517,-0.7384,-1.3051,-0.3863,0.6269,1.3654,0.0572,-0.4466,0.5667,-0.2217,-0.4435,0.5697,0.1487,0.0031,-0.0771,0.9361,0.1478,-0.3071,0.7061,0.2851,-0.23,0.7148,1.7281,0.7919,0.46,1.4733,0.7672,-0.2548
ABF2,5.2537,-1.0557,4.198,-0.1728,-1.8866,3.3671,-0.8309,-0.8829,4.3708,2.733,1.6378,0.1605,-3.9252,1.3285,0.8876,-4.4403,0.8134,-0.5151,-4.8128,0.4409,0.3853,0.0556,-1.5822,1.6013,0.1241,1.4773,-4.2808,0.9729,-0.0917,-2.8687,2.385,1.4121,0.4481,-4.1891,1.0646,-3.3168,1.9369,0.8723,-3.1745,2.0791,-0.4751,-1.9554,3.2982,1.2191,-0.0137,-2.6994,2.5543,1.4897,-1.9418,3.3119,1.375,0.7576,-5.9017,-0.648,-1.7126,-3.6828,1.5708,-0.3661,2.2188,-2.9123,2.3414,2.9894,-2.6483,2.6053,1.0345,0.2639
ABP1,1.4792,-0.533,0.9462,0.3973,-0.8113,0.6679,-0.2783,-0.9303,0.549,1.7483,-1.1993,-1.2612,-1.2243,0.2549,0.3312,-1.38,0.0992,-0.1557,-1.5556,-0.0763,0.3823,-0.4586,0.7407,0.012,-0.0499,0.0619,-0.2514,1.2278,0.7471,-0.1957,1.2835,0.0557,0.4809,-0.9985,0.4808,-0.6766,0.8026,0.3219,-1.4686,0.0106,-0.6377,-0.0818,1.3975,1.3869,0.262,-0.8309,0.6483,0.1675,-0.3437,1.1355,0.3328,0.4872,-1.2715,0.2077,-0.273,-0.7169,0.7623,-0.0403,0.5546,0.1448,1.6241,1.4163,0.0106,1.4899,0.7275,-0.1342
ABP140,0.3085,-0.5954,-0.2868,-0.3509,0.1378,0.4463,0.7332,-0.2444,0.0641,1.3101,-1.246,-1.4192,-0.9537,-0.6451,0.0835,-0.2033,0.1052,0.7504,-1.0372,-0.7286,0.2354,-0.9641,0.2819,0.2048,0.0316,0.1733,-0.5947,-0.2861,-0.2562,-0.7233,-0.4147,-0.1286,-0.8134,-0.3385,-0.0299,0.0901,0.3986,0.4286,-0.9636,-0.6551,-0.7522,-0.059,0.2496,0.9046,0.0172,-0.2114,0.0971,0.127,-0.0762,0.2324,-0.1663,0.1353,-0.3235,-0.015,0.0149,0.0312,0.3397,-0.0589,0.3547,-0.0591,0.2494,0.2644,0.0658,0.3743,0.0346,0.1249
ABZ1,0.455,-0.2391,0.2159,-0.029,-0.0317,0.4233,0.2074,-0.2101,0.2449,0.8555,-0.6106,-2.0362,-0.8216,-0.3665,-1.1521,0.1592,0.6142,0.9807,0.3306,0.7856,0.7113,0.0742,0.6848,1.4541,0.0285,1.4256,0.0807,0.5357,-0.1136,0.0747,0.5297,-0.0061,-0.4325,0.1943,0.6493,0.5072,0.9622,0.3128,0.0763,0.5314,-0.282,-0.0749,0.3801,-0.1513,-0.3044,0.3583,0.8133,0.164,0.2294,0.6844,-0.2777,-0.1289,0.8334,1.2884,0.639,0.2674,0.7224,-0.2397,-0.5659,0.9377,1.3927,0.1043,0.7596,1.2146,0.4921,-0.1781
ABZ2,0.2407,-0.0235,0.2172,0.3913,0.2539,0.4945,0.2774,-0.4148,-0.1741,3.6701,-3.8442,-4.5919,-2.0797,-1.839,-0.23,-0.2276,0.0131,1.8521,-1.8496,-1.609,7.4557,-9.0646,-5.2204,0.718,-0.0297,0.7477,-0.0887,0.152,1.7811,-0.1421,0.0986,-0.0534,0.7722,-1.8698,-1.6292,-0.9143,-0.6736,0.9556,-1.0234,-0.7827,-1.3062,0.3348,0.5755,1.3582,0.0299,0.2828,0.5235,2.1527,0.3049,0.5456,1.2192,0.022,-5.4367,-5.196,-3.5668,-0.1329,0.1078,0.7814,5.3038,0.7749,1.0156,6.2116,1.0273,1.268,1.1602,0.2524
ACA1,4.2942,0.457,4.7512,1.5052,-0.665,3.6293,-1.122,-1.0482,3.246,0.6223,2.6237,0.8831,-1.4226,2.8716,0.5133,-2.2778,2.0164,-0.8552,-1.936,2.3583,0.7308,1.6275,-0.9962,1.6715,-0.0691,1.7406,-1.4882,2.806,-0.5789,-1.6344,2.6598,-0.1462,-1.0274,-0.9093,3.3849,-0.607,3.6872,0.3023,-0.9711,3.3231,-0.1198,-0.7873,3.507,0.1838,0.0112,-0.8513,3.4429,0.058,-0.7985,3.4957,-0.1915,0.0528,-1.3736,2.9206,-0.4643,-1.2333,3.061,-0.6262,0.1404,-2.334,1.9602,-0.9604,-2.4178,1.8765,-1.1845,-0.0837
ACB1,2.1572,-3.0376,-0.8804,-0.8735,-4.1278,-1.9706,-1.0902,-2.1641,-0.0069,9.3866,-9.3935,-3.4085,-16.2061,-14.0489,-13.0417,-8.411,-6.2538,7.7951,-3.1644,-1.0072,13.0417,-14.0489,-4.6554,-6.201,-0.216,-5.985,-11.7936,-9.6364,1.1314,-3.5669,-1.4097,8.2267,7.9785,-12.925,-10.7678,-11.5454,-9.3882,1.3796,-3.2506,-1.0934,-0.3362,-7.0496,-4.8924,-3.799,-2.9782,-2.9144,-0.7572,10.0106,-4.0714,-1.9142,7.474,-1.157,-11.6187,-9.4615,1.3063,-7.9748,-5.8175,3.5707,3.644,-3.2464,-1.0892,8.3724,-2.6772,-0.52,5.2976,0.5692
ACC1,0.3702,0.0616,0.4317,-0.2036,-0.3283,0.0418,-0.3899,0.2652,0.6353,-1.595,2.2303,1.2899,0.6942,1.0644,0.1612,-0.6063,-0.2361,-1.3005,0.533,0.9032,-0.2772,1.1804,-1.0499,1.1046,0.1642,0.9404,-0.3841,-0.014,-1.997,-0.8631,-0.4929,-0.4789,-1.9295,1.6129,1.983,1.0664,1.4366,-0.5464,0.9091,1.2792,0.5263,0.1335,0.5036,-0.7756,-0.0444,0.3827,0.7529,-1.2301,0.1779,0.548,-0.8886,-0.2049,1.446,1.8162,-0.1669,0.5407,0.9108,-0.5257,-0.9053,-0.1439,0.2263,-1.5899,0.0833,0.4535,-0.4573,0.2272
ACE2,-6.0755,-3.3059,-9.3814,-2.7054,-3.3059,-9.3814,0,-0.6005,-6.676,-8.4461,1.7701,4.2711,6.6601,0.5846,0.3368,2.4595,-3.6159,-4.2006,6.3232,0.2478,-0.6556,0.9034,-0.8666,-6.5583,-4.0573,-2.501,-3.3059,-9.3814,-9.7812,-0.1062,-6.1816,3.1997,-0.1993,6.4753,0.3998,0.0931,-5.9823,-6.3822,-3.3059,-9.3814,0,-3.3059,-9.3814,0,-3.5684,-3.3059,-9.3814,-9.7812,0.2625,-5.8129,0.1694,3.5684,-0.2528,-6.3283,-6.7281,-3.3059,-9.3814,-3.399,-3.0531,-3.3059,-9.3814,-3.0531,-3.3059,-9.3814,0,0
ACF2,2.2062,-1.1214,1.0848,-0.6042,-0.7002,1.506,0.4212,-0.5172,1.6889,-1.1494,2.8383,2.124,0.2246,2.4308,0.512,-0.8553,1.3509,-1.0799,-0.2874,1.9188,0.1024,1.8165,-1.0218,0.2172,-0.4971,0.7143,-0.8206,1.3856,-1.8581,-0.9375,1.2687,-0.1169,-1.5807,1.0375,3.2437,0.6432,2.8494,-0.3943,0.5345,2.7407,0.2525,-0.0287,2.1775,-0.5632,0.005,0.282,2.4882,-0.7555,-0.0336,2.1725,-0.6768,-0.3157,0.4173,2.6235,-0.6202,-0.2909,1.9153,-0.9341,-0.7082,0.1603,2.3665,-0.257,0.03,2.2362,0.3209,-0.1303
ACF4,2.5754,-5.113,-2.5376,-0.0273,-12.8346,-10.2592,-7.7216,-5.0857,-2.5103,-4.6058,2.0956,0.894,-1.2499,1.3255,1.0109,-5.8371,-3.2617,-4.5873,-2.2608,0.3146,-0.6852,0.9998,-1.0958,1.2956,0.0941,1.2015,-12.8346,-10.2592,-4.4438,-5.3033,-2.7279,7.5313,7.5313,-8.3908,-5.8154,-12.8346,-10.2592,-4.4438,-12.8346,-10.2592,0,-12.8346,-10.2592,0,0,-12.8346,-10.2592,-4.4438,-12.8346,-10.2592,0,0,-12.8346,-10.2592,-4.4438,-9.1785,-6.6031,3.6561,3.6561,-4.511,-1.9356,8.3235,-0.8226,1.7528,8.3559,3.6884
ACH1,4.7953,0.1398,4.9351,0.0225,0.005,4.8003,-0.1347,0.1173,4.9126,2.9473,1.9652,1.2427,-0.054,4.7413,0.6444,-1.8168,2.9785,-1.7628,-0.6984,4.0969,2.7045,1.3924,-0.5728,0.2959,-0.4266,0.7225,-0.981,3.8143,-0.5949,-1.4491,3.3462,-0.4681,-1.3672,-0.3861,4.4092,-0.0819,4.7134,0.3042,-0.7806,4.0147,-0.1944,-0.2813,4.514,0.4993,0.1429,-0.5862,4.2091,-0.2,-0.4242,4.3711,-0.3423,0.162,-1.6287,3.1666,-1.2426,-1.8536,2.9417,-1.7717,-0.2249,-3.9814,0.8139,-2.3527,-4.1275,0.6678,-2.2739,-0.1461
ACK1,-7.1873,7.339,0.1517,-0.0913,-3.6787,-10.866,-11.0177,7.4303,0.2429,-1.0894,1.3324,0.7605,8.5602,1.3728,0.4795,7.2649,0.0776,-1.2952,8.0807,0.8933,0.0238,0.8695,-0.4629,0.6044,0.0325,0.5719,3.8039,-3.3834,-4.3909,7.6572,0.4698,3.8533,0.018,8.1948,1.0074,7.6392,0.4518,-0.5556,7.2864,0.099,-0.0076,7.2843,0.097,-0.002,3.7807,7.294,0.1066,-0.9008,3.5036,-3.6837,-4.1355,-3.7903,8.6093,1.422,0.4146,4.0738,-3.1135,-3.5654,-4.5355,8.0313,0.844,-0.578,7.8148,0.6275,3.741,-0.2165
ACM1,-3.5226,-3.0226,-6.5452,-2.7004,-3.0226,-6.5452,0,-0.3222,-3.8449,2.7004,-6.5452,-6.7457,3.6271,0.1045,-3.8357,0.1919,-3.3307,-3.4352,7.4628,3.9402,0.2136,3.7266,10.2718,0.0014,-0.1991,0.2004,-3.0226,-6.5452,-11.5922,0.0428,-3.4798,3.0654,-3.9752,8.5696,5.047,4.018,0.4954,-4.5516,-0.0827,-3.6054,2.9399,0.9203,-2.6024,1.003,-3.6083,-3.0226,-6.5452,-11.5922,4.5285,1.0059,0.5105,7.5512,8.1668,4.6442,-0.4028,4.122,0.5994,0.104,-4.0448,4.4367,0.9141,-3.7301,0.7932,-2.7295,-3.3288,-3.6435
